Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.958934394697387399e-05,8.009886956223795096e+00,-1.367030666772720399e-05,3.515135822796931108e-05
-8.958934394697387399e-05,8.009886956223795096e+00,-1.367030666772720399e-05,3.515135822796931108e-05,8.958934801072303484e-05,8.010801065281011546e+00,-1.367049354756630189e-05,3.515355666420155099e-05
4.063749163409933255e-12,1.602068802150480664e+01,-2.734080021529350588e-05,7.030491489217086207e-05,1.292279948244919634e-12,8.010860602642107864e+00,-1.367039956898827456e-05,3.515245770858535274e-05
5.356029111654852889e-12,2.403154862414691451e+01,-4.101119978428178044e-05,1.054573726007562148e-04,1.892664756825934452e-12,8.011202423121531524e+00,-1.367040308723135465e-05,3.515246170555321630e-05
7.248693868480787341e-12,3.204275104726844603e+01,-5.468160287151313509e-05,1.406098343063094311e-04,1.778001241005762895e-12,8.011551850398824115e+00,-1.367039787122917071e-05,3.515244819947920376e-05
9.026695109486550235e-12,4.005430289766727014e+01,-6.835200074274230581e-05,1.757622825057886349e-04,1.784302707911127837e-12,8.011889809993917311e+00,-1.367039847383507399e-05,3.515246956853647071e-05
1.081099781739767807e-11,4.806619270766118746e+01,-8.202239921657737980e-05,2.109147520743251056e-04,1.776305566821936704e-12,8.012239190662640453e+00,-1.367039907391091695e-05,3.515244433749951155e-05
1.258730338421961478e-11,5.607843189832382791e+01,-9.569279829048829675e-05,2.460671964118246171e-04,1.783361555987134357e-12,8.012577103867116080e+00,-1.367040549265945203e-05,3.515246561845659706e-05
1.437066494020674913e-11,6.409100900219094399e+01,-1.093632037831477488e-04,2.812196620302812142e-04,1.780648406599051821e-12,8.012926439879223039e+00,-1.367040026644055319e-05,3.515246357794604140e-05
1.615131334680580095e-11,7.210393544207016703e+01,-1.230336040495883020e-04,3.163721256082272556e-04,1.778379915264436690e-12,8.013268119370209774e+00,-1.367040085870354043e-05,3.515243821968904326e-05
1.792969326207023764e-11,8.011720356144037680e+01,-1.367040049082918424e-04,3.515245638279162988e-04,1.780729001586710185e-12,8.013609779016476864e+00,-1.367038980544180030e-05,3.515245936875250081e-05
1.971042226365694783e-11,8.813081334045685367e+01,-1.503743947137336427e-04,3.866770231966687997e-04,1.791602756330662565e-12,8.013959046209862436e+00,-1.367040203581186444e-05,3.515245719859462145e-05
2.150202501998761039e-11,9.614477238666671610e+01,-1.640447967495455071e-04,4.218294803952634211e-04,1.769974857032405985e-12,8.014300657937496908e+00,-1.367040262070513650e-05,3.515245498545219172e-05
2.327199987702001638e-11,1.041590730446042130e+02,-1.777151993702506436e-04,4.569819353807156128e-04,1.780849298469507486e-12,8.014642248883561138e+00,-1.367040320295661443e-05,3.515247600058317911e-05
2.505284917548952386e-11,1.121737152934877741e+02,-1.913856025732072581e-04,4.921344113812987919e-04,1.783819604849631227e-12,8.014991444822868516e+00,-1.367039213882420253e-05,3.515245042874756871e-05
2.683666878033915509e-11,1.201887067383106427e+02,-2.050559947120314606e-04,5.272868618100463606e-04,1.786079399462329023e-12,8.015332989892200999e+00,-1.367040435981857417e-05,3.515247135585223594e-05
2.862274817980148411e-11,1.282040397282028437e+02,-2.187263990718500348e-04,5.624393331658985966e-04,1.779105057922653158e-12,8.015666871835890106e+00,-1.367040493447705903e-05,3.515244569904959863e-05
3.040185323772413727e-11,1.362197066000387338e+02,-2.323968040063270938e-04,5.975917788649481952e-04,1.773727420505009759e-12,8.016031272616061187e+00,-1.367040550671533359e-05,3.515246653836804226e-05
3.217558065822914703e-11,1.442357378726547950e+02,-2.460672095130424274e-04,6.327442454033162375e-04,1.784690148342110966e-12,8.016365107929857459e+00,-1.367038278722088919e-05,3.515244079683825778e-05
3.396027080657125800e-11,1.522521029805846524e+02,-2.597375923002633166e-04,6.678966862001544953e-04,1.787837549239829078e-12,8.016698925934150566e+00,-1.367040664316843427e-05,3.515246154794536212e-05
3.574810835581108708e-11,1.602688019065188030e+02,-2.734079989434317509e-04,7.030491477480998574e-04,1.773760492356340809e-12,8.017047982520210780e+00,-1.367040720770150083e-05,3.515243572170664507e-05
3.752186884816742788e-11,1.682858498890390138e+02,-2.870784061511332517e-04,7.382015834698065024e-04,1.758439548678883984e-12,8.017397024147783213e+00,-1.367038447965728204e-05,3.515245638506428027e-05
3.928030839684631187e-11,1.763032469131867970e+02,-3.007487906307905337e-04,7.733540398548707827e-04,1.809710279347098800e-12,8.017746043735058947e+00,-1.367040832896511881e-05,3.515247700258553390e-05
4.109001867619341067e-11,1.843209929569218559e+02,-3.144191989597556526e-04,8.085065168574563166e-04,1.783382089040008770e-12,8.018079769618367436e+00,-1.367040888590296968e-05,3.515249757471894040e-05
4.287340076523341944e-11,1.923390727265402234e+02,-3.280896078456586222e-04,8.436590144321752570e-04,1.780490712653486661e-12,8.018428716107308674e+00,-1.367038614930808204e-05,3.515237852526526853e-05
4.465389147788690610e-11,2.003575014426475320e+02,-3.417599939949667043e-04,8.788113929574405256e-04,1.778665232944895505e-12,8.018762422581346527e+00,-1.367040999197534313e-05,3.515253858686032302e-05
4.643255671083180161e-11,2.083762638652288786e+02,-3.554304039869420474e-04,9.139639315443008486e-04,1.761216432356765844e-12,8.019111321674444071e+00,-1.367038724979047172e-05,3.515241945602329190e-05
4.819377314318856745e-11,2.163953751869033226e+02,-3.691007912367325191e-04,9.491163510003241405e-04,2.065966934939566121e-06,8.019799092110901029e+00,-2.465799630747595068e-05,4.763260020676919441e-05
2.066015128712709221e-06,2.244151742790142237e+02,-3.937587875442084698e-04,9.967489512070933349e-04,7.990951530760993793e-02,8.072509522497796297e+00,-9.675894268775473437e-04,1.046680914354514548e-03
7.991158132273865067e-02,2.324876838015120200e+02,-1.361348214421755813e-03,2.043429865561607883e-03,-7.647399908463081708e-02,7.990655810514368795e+00,-2.546278193326906476e-03,2.606359531624562013e-03
3.437582238107840527e-03,2.404783396120263887e+02,-3.907626407748662073e-03,4.649789397186169897e-03,-1.867580298148110995e-02,7.996545010077596771e+00,-3.049600215825936517e-03,3.083945357156644800e-03
-1.523822074337326769e-02,2.484748846221039855e+02,-6.957226623574598590e-03,7.733734754342814696e-03,1.441163007485061869e-02,8.034966344784237435e+00,-3.092383137244979902e-03,3.119730534182213466e-03
-8.265906685226488996e-04,2.565098509668882230e+02,-1.004960976081957849e-02,1.085346528852502816e-02,9.509533979193550597e-04,8.013758361319673895e+00,-3.093784777655032847e-03,3.119412697460988496e-03
1.243627293967061059e-04,2.645236093282078969e+02,-1.314339453847461134e-02,1.397287798598601666e-02,3.357845584615179652e-05,8.009728088694203052e+00,-3.094161073946170154e-03,3.119414048901744674e-03
1.579411852428579024e-04,2.725333374169020999e+02,-1.623755561242078149e-02,1.709229203488776133e-02,1.106339275731791911e-05,8.006734915013453247e+00,-3.094263488506866777e-03,3.119430444517269641e-03
1.690045780001758215e-04,2.805400723319155531e+02,-1.933181910092764827e-02,2.021172247940503097e-02,1.040117417148710014e-03,8.005233949804960503e+00,-3.045422264274490198e-03,3.070563140568242921e-03
1.209121995148885889e-03,2.885453062817205137e+02,-2.237724136520213847e-02,2.328228561997327389e-02,-8.774623116206223955e-05,8.000700214511596187e+00,-3.003077033625921322e-03,3.028199490467835264e-03
1.121375763986823650e-03,2.965460064962321098e+02,-2.538031839882805979e-02,2.631048511044110916e-02,-9.536155010208091469e-04,7.996164104298827624e+00,-3.002967460685443402e-03,3.028095387012721962e-03
1.677602629660145030e-04,3.045421706005309375e+02,-2.838328585951350319e-02,2.933858049745383112e-02,-4.670057111957247537e-06,7.993770701182484117e+00,-3.003075713981014083e-03,3.028215607598708226e-03
1.630902058540572555e-04,3.125359413017134216e+02,-3.138636157349451727e-02,3.236679610505253935e-02,5.101548950203359158e-06,7.990005266868251965e+00,-3.003080628936720398e-03,3.028217923437284687e-03
1.681917548042606147e-04,3.205259465685816735e+02,-3.438944220243123767e-02,3.539501402848982403e-02,1.792321140050071298e-06,7.985998441069284581e+00,-3.003076945486564397e-03,3.028215518231312797e-03
1.699840759443106860e-04,3.285119450096509581e+02,-3.739251914791780207e-02,3.842322954672113683e-02,1.696477619120989339e-06,7.981818272102259471e+00,-3.003077054084930808e-03,3.028216943037537190e-03
1.716805535634316753e-04,3.364937632817532176e+02,-4.039559620200273288e-02,4.145144648975867402e-02,-2.186700262419107726e-02,7.949074527864183892e+00,-3.292811352930163915e-03,3.317909938291646599e-03
-2.169532207062764562e-02,3.444428378096174015e+02,-4.368840755493289679e-02,4.476935642805032062e-02,1.081814695741395438e-02,7.976507574862182537e+00,-3.473869842785200224e-03,3.499156608147896419e-03
-1.087717511321369124e-02,3.524193453844795840e+02,-4.716227739771809702e-02,4.826851303619821704e-02,1.113218820123267755e-02,7.971307900069575680e+00,-3.474191924772544737e-03,3.499426539670918990e-03
2.550130880189860403e-04,3.603906532845491597e+02,-5.063646932249064175e-02,5.176793957586913603e-02,3.179878962688501964e-05,7.952511706689676885e+00,-3.473657284926059963e-03,3.498810664948878713e-03
2.868118776458710600e-04,3.683431649912388366e+02,-5.411012660741670172e-02,5.526675024081801474e-02,-1.567946585273735042e-05,7.945888241439320154e+00,-3.473658934413495492e-03,3.498807757145776243e-03
2.711324117931337096e-04,3.762890532326781567e+02,-5.758378554183019721e-02,5.876555799796379098e-02,2.130426732967194686e-06,7.939078040690105809e+00,-3.473659650198766824e-03,3.498801477242297064e-03
2.732628385261009043e-04,3.842281312733682626e+02,-6.105744519202896403e-02,6.226435947520608805e-02,2.377619663676458061e-06,7.932058890951452668e+00,-3.473662744667205260e-03,3.498808467036554348e-03
2.756404581897773623e-04,3.921601901643197152e+02,-6.453110793669616929e-02,6.576316794224264239e-02,2.181947104613077369e-06,7.924793887323971830e+00,-3.473668397486459614e-03,3.498806146374378034e-03
2.778224052943904397e-04,4.000849840516436871e+02,-6.800477633418262891e-02,6.926197408861702043e-02,2.107359723512748900e-06,7.917325269503180607e+00,-3.473657584337208615e-03,3.498811122540371188e-03
2.799297650179031886e-04,4.080023093211468677e+02,-7.147843391851983752e-02,7.276078521115739162e-02,2.044132575271706727e-06,7.909584871207925971e+00,-3.473662344145811431e-03,3.498806576484977948e-03
2.819738975931748953e-04,4.159118941923547936e+02,-7.495209626266564895e-02,7.625959178764236956e-02,1.983901808908200125e-06,7.901645666943238666e+00,-3.473663700855417202e-03,3.498803499127553507e-03
2.839577994020830954e-04,4.238135398592980323e+02,-7.842575996352106615e-02,7.975839528676992307e-02,-3.035871029869811801e-03,7.887859267997953339e+00,-3.537540379183648498e-03,3.562680919257016354e-03
-2.751913230467728597e-03,4.317013991272959856e+02,-8.196330034270471465e-02,8.332107620602693943e-02,-9.668295767794858608e-02,7.756827593543221155e+00,-4.224153285905168920e-03,4.248904007865442201e-03
-9.943487090841630904e-02,4.394582267208392068e+02,-8.618745362860988357e-02,8.756998021389238163e-02,9.974107356889105880e-02,7.951546531243593563e+00,-4.228879845465632892e-03,4.254678562998784330e-03
3.062026604747531159e-04,4.474097732520828004e+02,-9.041633347407551646e-02,9.182465877689116596e-02,-2.773282289381251561e-04,1.410016108223317133e+00,-7.603217726424305045e-04,7.648594404049968709e-04
