Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.337589825333485027e+00,4.005088226395312923e+00,7.811747538646845567e-06,1.188022798229226475e-05
3.337589825333485027e+00,4.005088226395312923e+00,7.811747538646845567e-06,1.188022798229226475e-05,3.337672963440032614e+00,4.005227258059867346e+00,7.811567191705681766e-06,1.188022944979939389e-05
6.675262788773517642e+00,8.010315484455180268e+00,1.562331473035252733e-05,2.376045743209165864e-05,3.337828345685103670e+00,4.005394425683091342e+00,7.811656053081164212e-06,1.188022945990492216e-05
1.001309113445862131e+01,1.201570991013827161e+01,2.343497078343369155e-05,3.564068689199658080e-05,3.337960602768223595e+00,4.005551581793143967e+00,7.811659057925103257e-06,1.188022801356623397e-05
1.335105173722684491e+01,1.602126149193141558e+01,3.124662984135879480e-05,4.752091490556281477e-05,3.338091907950067494e+00,4.005709693884348610e+00,7.811656241549969255e-06,1.188022947576811454e-05
1.668914364517691240e+01,2.002697118581576419e+01,3.905828608290876406e-05,5.940114438133092931e-05,3.338223215016977719e+00,4.005867808166467370e+00,7.811656335410476187e-06,1.188022802588791383e-05
2.002736686019389012e+01,2.403283899398223156e+01,4.686994241831924025e-05,7.128137240721884314e-05,3.338353570213353549e+00,4.006025924674425198e+00,7.811656428792091019e-06,1.188022657460467420e-05
2.336572043040724367e+01,2.803886491865665676e+01,5.468159884711133126e-05,8.316159898182351733e-05,3.338485834711107714e+00,4.006184043594707589e+00,7.811656521250799081e-06,1.188023094182051880e-05
2.670420626511835138e+01,3.204504896225136434e+01,6.249325536836213035e-05,9.504182992364403613e-05,3.338618101174560593e+00,4.006340257048336184e+00,7.811659523808731726e-06,1.188022948714899830e-05
3.004282436629291198e+01,3.605138921929970053e+01,7.030491489217086207e-05,1.069220594107930344e-04,3.338746554355864760e+00,4.006496472659755170e+00,7.811656705374999342e-06,1.188022803063056650e-05
3.338157092064877673e+01,4.005788569195945570e+01,7.811657159754586141e-05,1.188022874414236009e-04,3.338880732048160382e+00,4.006656505624718534e+00,7.811659706707783533e-06,1.188022657270932617e-05
3.672045165269693712e+01,4.406454219758417423e+01,8.592823130425364495e-05,1.306825140141329271e-04,3.339013003931988521e+00,4.006816540883363587e+00,7.811656887361884756e-06,1.188022511294131007e-05
4.005946465662892564e+01,4.807135873846753782e+01,9.373988819161552970e-05,1.425627391270742372e-04,3.339145277664890443e+00,4.006968948468937697e+00,7.811654067605371511e-06,1.188023529154929366e-05
4.339860993429381608e+01,5.207832768693647552e+01,1.015515422592209012e-04,1.544429744186235308e-04,3.339273738404422431e+00,4.007132802905893243e+00,7.811657067701026813e-06,1.188022218883685649e-05
4.673788367269823851e+01,5.608546048984236876e+01,1.093631993269219280e-04,1.663231966074603873e-04,3.339406015814738282e+00,4.007285214900051074e+00,7.811654246810383886e-06,1.188023236369705133e-05
5.007728968851297680e+01,6.009274570474241983e+01,1.171748535737323119e-04,1.782034289711574386e-04,3.339538295695845704e+00,4.007449074576889814e+00,7.811663066074848658e-06,1.188023089715393717e-05
5.341682798420882250e+01,6.410019477931930965e+01,1.249865166398071606e-04,1.900836598683113758e-04,3.339666761678167006e+00,4.007597674812501509e+00,7.811660244181223853e-06,1.188022942920832618e-05
5.675649474588698951e+01,6.810779245413181116e+01,1.327981768839883844e-04,2.019638892975197020e-04,3.339802859887470277e+00,4.007761538985818106e+00,7.811657422321046686e-06,1.188022795963830929e-05
6.009629760577445978e+01,7.211555399311762926e+01,1.406098343063094311e-04,2.138441172571580113e-04,3.339931329508267766e+00,4.007917774471920325e+00,7.811654599606328471e-06,1.188022648844391359e-05
6.343622893528272755e+01,7.612347176758954959e+01,1.484214889059157596e-04,2.257243437456019249e-04,3.340063616182021633e+00,4.008081643322867649e+00,7.811651776703094604e-06,1.188022501540323002e-05
6.677629255146474918e+01,8.013155341091241723e+01,1.562331406826188542e-04,2.376045687610051549e-04,3.340195905520786823e+00,4.008230252007308536e+00,7.811660593278304306e-06,1.188022354073827607e-05
7.011648845698553600e+01,8.413978366291972577e+01,1.640448012758971585e-04,2.494847923017434310e-04,3.340324380617445854e+00,4.008394127405779273e+00,7.811657769150193035e-06,1.188024534173973698e-05
7.345681283760298186e+01,8.814817779032550504e+01,1.718564590450473515e-04,2.613650376434831679e-04,3.340460488239031633e+00,4.008550369745051967e+00,7.811654944833566110e-06,1.188022058670339153e-05
7.679727332584201349e+01,9.215672816007055701e+01,1.796681139898809176e-04,2.732452582301865595e-04,3.340588966974138430e+00,4.008706616199759765e+00,7.811652120106460243e-06,1.188021910716603301e-05
8.013786229281615192e+01,9.616543477627031677e+01,1.874797661099873779e-04,2.851254773373525925e-04,3.340725079324798230e+00,4.008862867142894970e+00,7.811660934272139038e-06,1.188024090246570181e-05
8.347858737214095015e+01,1.001742976434132117e+02,1.952914270442595169e-04,2.970057182398182943e-04,3.340853561776043534e+00,4.009026747425735948e+00,7.811658108542254581e-06,1.188021614316486394e-05
8.681944093391699369e+01,1.041833243908389477e+02,2.031030851528017715e-04,3.088859343829831582e-04,3.340982047036064273e+00,4.009175371209508398e+00,7.811666921523334082e-06,1.188023793466364518e-05
9.016042298095305796e+01,1.081924997620484561e+02,2.109147520743251056e-04,3.207661723176468034e-04,3.341118163059491053e+00,4.009339258412495610e+00,7.811652455760138489e-06,1.188023644829955348e-05
9.350154114401254901e+01,1.122018390204609517e+02,2.187264045300852441e-04,3.326464087659463569e-04,3.341246652035579245e+00,4.009503145340815422e+00,7.811661267738520716e-06,1.188021168495680992e-05
9.684278779604812826e+01,1.162113421658017671e+02,2.265380657978237648e-04,3.445266204509031668e-04,3.341375140556380074e+00,4.009651775785442851e+00,7.811646801336296362e-06,1.188023347075469350e-05
1.001841629366045083e+02,1.202209939415872100e+02,2.343497125991600611e-04,3.564068539216578603e-04,3.341511264371447965e+00,4.009808037709063910e+00,7.811655612311981314e-06,1.188023197929750788e-05
1.035256742009759563e+02,1.242308019792962739e+02,2.421613682114720425e-04,3.682870859009553682e-04,3.341639758939777494e+00,4.009979566379854532e+00,7.811664422382520083e-06,1.188023048643871990e-05
1.068673139599157338e+02,1.282407815456761284e+02,2.499730326338545625e-04,3.801673163873940881e-04,3.341775884180862022e+00,4.010128197517929038e+00,7.811649955061976489e-06,1.188020571770749155e-05
1.102090898440965958e+02,1.322509097431940575e+02,2.577846825889165390e-04,3.920475221051015796e-04,3.341904382465287426e+00,4.010284472248002885e+00,7.811658764351971009e-06,1.188025076965544937e-05
1.135509942265618832e+02,1.362611942154420603e+02,2.655963413532685100e-04,4.039277728747570290e-04,3.342040514106216165e+00,4.010440743167976052e+00,7.811667572736710925e-06,1.188024927115122068e-05
1.168930347406680994e+02,1.402716349586100364e+02,2.734080089260052210e-04,4.158080221459082497e-04,3.342169013464243221e+00,4.010597009532119728e+00,7.811653104275993222e-06,1.188020122507287436e-05
1.202352037541323426e+02,1.442822319681421561e+02,2.812196620302812142e-04,4.276882233709811240e-04,3.342297517340725221e+00,4.010753291292758149e+00,7.811661911658334019e-06,1.188024627004778590e-05
1.235775012714730678e+02,1.482929852594349143e+02,2.890313239419395482e-04,4.395684696410289099e-04,3.342433651799353811e+00,4.010924827275772486e+00,7.811647442558641765e-06,1.188019822182884502e-05
1.269199349232724217e+02,1.523039100867106868e+02,2.968429713844981900e-04,4.514486678628577550e-04,3.342562159391832211e+00,4.011081114085868649e+00,7.811656248938475024e-06,1.188024326267332577e-05
1.302624970826642539e+02,1.563149912007965554e+02,3.046546276334366650e-04,4.633289111255310807e-04,3.342698300638886622e+00,4.011222130113452522e+00,7.811665054857197098e-06,1.188024175605297645e-05
1.336051953833031405e+02,1.603262133309100079e+02,3.124662926882938621e-04,4.752091528815840572e-04,3.342826808916271375e+00,4.011393680197045342e+00,7.811650584617520470e-06,1.188024024803151267e-05
1.369480221922194119e+02,1.643376070111070533e+02,3.202779432729113826e-04,4.870893931296155699e-04,3.342955322100834792e+00,4.011549958747110622e+00,7.811659389311853031e-06,1.188019219531004280e-05
1.402909775143202467e+02,1.683491569698541639e+02,3.280896026622232356e-04,4.989695853249256127e-04,3.343083833819463280e+00,4.011706254930743398e+00,7.811644918211428298e-06,1.188023722745060271e-05
1.436340613481397099e+02,1.723608632247849073e+02,3.359012475804346639e-04,5.108498225523762154e-04,3.343227618054157801e+00,4.011862545626144083e+00,7.811676997277177542e-06,1.188023571433837605e-05
1.469772889661938677e+02,1.763727257704110514e+02,3.437129245777118414e-04,5.227300582667145914e-04,3.343340865957515007e+00,4.012018838478496718e+00,7.811639250204457409e-06,1.188023420004707953e-05
1.503206298321513827e+02,1.803847446088895481e+02,3.515245638279162988e-04,5.346102924667616709e-04,3.343484654182788063e+00,4.012190400615367025e+00,7.811671327904166125e-06,1.188023268346746590e-05
1.536641144863341708e+02,1.843969350095049151e+02,3.593362351558204650e-04,5.464905251502291368e-04,3.343628437569066136e+00,4.012331430834734647e+00,7.811656855162692984e-06,1.188023116593061018e-05
1.570077429239032369e+02,1.884092664403396498e+02,3.671478920109831580e-04,5.583707563161597470e-04,3.343741693934731529e+00,4.012502997647800385e+00,7.811642382283797217e-06,1.188022964632759037e-05
1.603514846178379685e+02,1.924217694379874501e+02,3.749595343932669552e-04,5.702509859624873374e-04,3.343870223832226429e+00,4.012644031818098256e+00,7.811674457752922594e-06,1.188022812510173675e-05
1.636953548416701949e+02,1.964344134698055484e+02,3.827712088510198778e-04,5.821312140875890741e-04,3.344014008929377724e+00,4.012815603307217316e+00,7.811636709810726529e-06,1.188022660269724695e-05
1.670393688505995726e+02,2.004472290731127657e+02,3.905828455608306043e-04,5.940114406902863211e-04,3.344142538853475344e+00,4.012971909462493159e+00,7.811645510034785113e-06,1.188022507800454847e-05
1.703835113894530480e+02,2.044602009825752589e+02,3.983944910708653894e-04,6.058916657682908696e-04,3.344271074695257084e+00,4.013128217774635687e+00,7.811677583273327150e-06,1.188022355235525841e-05
1.737277824641483051e+02,2.084733292003498946e+02,4.062061686541387166e-04,6.177718893206461280e-04,3.344414869513997246e+00,4.013284528243332261e+00,7.811663108030545387e-06,1.188022202463969584e-05
