Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.250055150491387712e-01,9.900053606532127626e-01,1.930976896107814867e-06,2.936685686001990675e-06
8.250055150491387712e-01,9.900053606532127626e-01,1.930976896107814867e-06,2.936685686001990675e-06,8.250104893042548015e-01,9.900139171352554390e-01,1.930965891291682845e-06,2.936685792869128122e-06
1.650016004353393573e+00,1.980019277788468202e+00,3.861942787399497712e-06,5.873371478871118797e-06,8.250201723781263041e-01,9.900240829813582444e-01,1.930971621492940236e-06,2.936685899932041988e-06
2.475036176731519877e+00,2.970043360769826446e+00,5.792914408892437948e-06,8.810057378803160785e-06,8.250281269365582482e-01,9.900337124151277202e-01,1.930971530799445449e-06,2.936685279337060504e-06
3.300064303668078125e+00,3.960077073184954166e+00,7.723885939691883397e-06,1.174674265814022129e-05,8.250360815223869437e-01,9.900435803063416529e-01,1.930971440099274347e-06,2.936685386129668369e-06
4.125100385190465069e+00,4.950120653491295819e+00,9.654857379791157744e-06,1.468342804426988966e-05,8.250440361356163876e-01,9.900527329695636425e-01,1.930971349392430320e-06,2.936686220745397219e-06
4.950144421326081456e+00,5.940173386460859462e+00,1.158582872918358806e-05,1.762011426501528688e-05,8.250524676198454088e-01,9.900628393535502170e-01,1.930971258678913368e-06,2.936686327703234107e-06
5.775196888945926865e+00,6.930236225814409678e+00,1.351679998786250143e-05,2.055680059271852098e-05,8.250599454499880636e-01,9.900719920674143637e-01,1.930971895587650313e-06,2.936684979166612246e-06
6.600256834395914929e+00,7.920308217881824042e+00,1.544777188345015175e-05,2.349348557188513323e-05,8.250683769866551387e-01,9.900825753818969233e-01,1.930971077230444447e-06,2.936686541322341320e-06
7.425325211382570068e+00,8.910390793263720965e+00,1.737874296068059619e-05,2.643017211320747455e-05,8.250763317173204214e-01,9.900912512951602906e-01,1.930971714123025086e-06,2.936683737726166388e-06
8.250401543099890489e+00,9.900482044558881256e+00,1.930971467480362128e-05,2.936685585093364094e-05,8.250847633112634583e-01,9.901008809938165456e-01,1.930970895755285518e-06,2.936686754618610394e-06
9.075486306411153947e+00,1.089058292555269780e+01,2.124068557055890680e-05,3.230354260555225133e-05,8.250917644033517462e-01,9.901114644083914840e-01,1.930971532631701380e-06,2.936686861667152653e-06
9.900578070814505693e+00,1.188069438996108929e+01,2.317165710319060818e-05,3.524022946721940398e-05,8.251006729156262764e-01,9.901201404063826317e-01,1.930972169275196735e-06,2.936684058017811157e-06
