Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.007946886842193912e+00,1.201540672383939601e+01,5.859725500420747261e-06,4.247485791351364735e-05
6.007946886842193912e+00,1.201540672383939601e+01,5.859725500420747261e-06,4.247485791351364735e-05,6.008214685550092860e+00,1.201691575798050415e+01,5.857760147761266218e-06,4.247691271663718457e-05
1.201616157239228677e+01,2.403232248181990016e+01,1.171748564818201348e-05,8.495177063015083192e-05,6.008952675130851517e+00,1.201790595248312954e+01,5.858742268111127261e-06,4.247588838852064150e-05
1.802511424752313829e+01,3.605022843430302970e+01,1.757622791629314074e-05,1.274276590186714734e-04,6.009531403215738976e+00,1.201906403032219117e+01,5.858742867140550806e-06,4.247588257508301958e-05
2.403464565073887726e+01,4.806929246462522087e+01,2.343497078343369155e-05,1.699035415937544930e-04,6.010114908756822416e+00,1.202022594200296624e+01,5.858743465958343168e-06,4.247589414474561950e-05
3.004476055949569968e+01,6.008951840662818711e+01,2.929371424939203471e-05,2.123794357385001125e-04,6.010694608495306568e+00,1.202139168523305557e+01,5.858744064786550648e-06,4.247587072002973071e-05
3.605545516799100625e+01,7.211091009186124268e+01,3.515245831417858536e-05,2.548553064585298432e-04,6.011276224499901844e+00,1.202254981735791262e+01,5.858741752961811166e-06,4.247588213645957103e-05
4.206673139249090809e+01,8.413345990921915529e+01,4.101120006714039653e-05,2.973311885949894142e-04,6.011854034711099359e+00,1.202370796738627234e+01,5.858742351178843717e-06,4.247589347436067512e-05
4.807858542720200745e+01,9.615716787660542764e+01,4.686994241831924025e-05,3.398070820693500894e-04,6.012439483647277427e+00,1.202487376510870831e+01,5.858742949406291385e-06,4.247588146015474726e-05
5.409102491084928488e+01,1.081820416417141359e+02,5.272868536772553163e-05,3.822829635295048366e-04,6.013017311629276662e+00,1.202603195381837509e+01,5.858740637031966433e-06,4.247591591738066530e-05
6.010404222247856154e+01,1.202080735955325110e+02,5.858742600475749806e-05,4.247588794468855019e-04,6.013598964007250913e+00,1.202720541487374817e+01,5.858747055172467376e-06,4.247585720469962672e-05
6.611764118648581245e+01,1.322352790104062592e+02,6.444617305992996544e-05,4.672347366515851286e-04,6.014184439611284461e+00,1.202835601017383738e+01,5.858741832240896633e-06,4.247591477886842075e-05
