Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.005198388378488517e+00,8.010181268789374087e+00,3.906265202402325361e-06,2.831679956121952815e-05
4.005198388378488517e+00,8.010181268789374087e+00,3.906265202402325361e-06,2.831679956121952815e-05,4.005317410719184679e+00,8.010850458602380542e+00,3.905392115119297181e-06,2.831771477153959414e-05
8.010515799097673195e+00,1.602103172739175463e+01,7.811657317521622542e-06,5.663451433275912229e-05,4.005645773294613576e+00,8.011290754428145533e+00,3.905828330660390937e-06,2.831725629739170963e-05
1.201616157239228677e+01,2.403232248181990016e+01,1.171748564818201348e-05,8.495177063015083192e-05,4.005903087769274507e+00,8.011807355608208780e+00,3.905829082170513854e-06,2.831726344803005388e-05
1.602206466016156128e+01,3.204412983742810894e+01,1.562331473035252733e-05,1.132690340781808858e-04,4.006162312258101821e+00,8.012322053755177365e+00,3.905828378582367518e-06,2.831724729527638584e-05
2.002822697241966310e+01,4.005645189118328631e+01,1.952914310893489485e-05,1.415862813734572716e-04,4.006418678319214166e+00,8.012840573441934566e+00,3.905827674498796694e-06,2.831726022029722135e-05
2.403464565073887726e+01,4.806929246462522087e+01,2.343497078343369155e-05,1.699035415937544930e-04,4.006678861892250865e+00,8.013355282188392437e+00,3.905829880844999979e-06,2.831724984319792214e-05
2.804132451263112813e+01,5.608264774681361331e+01,2.734080066427869152e-05,1.982207914369524151e-04,4.006937140672235387e+00,8.013869998106635251e+00,3.905829177080103278e-06,2.831727436087134965e-05
3.204826165330336352e+01,6.409651774492024856e+01,3.124662984135879480e-05,2.265380657978237648e-04,4.007193514687642732e+00,8.014392346940994116e+00,3.905828472819790559e-06,2.831724066070607842e-05
3.605545516799100625e+01,7.211091009186124268e+01,3.515245831417858536e-05,2.548553064585298432e-04,4.007453706178061736e+00,8.014899441416204695e+00,3.905827768730178696e-06,2.831725349404170958e-05
4.006290887416906799e+01,8.012580953327744737e+01,3.905828608290876406e-05,2.831725599525715528e-04,4.007710085480781004e+00,8.015421804276599005e+00,3.905827064811281241e-06,2.831726630313767014e-05
4.407061895964984899e+01,8.814123133755404638e+01,4.296411314772004530e-05,3.114898262557092229e-04,4.007966467552158463e+00,8.015936539051381260e+00,3.905829270599194946e-06,2.831725581364086643e-05
