Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.650021964877506742e+00,1.980021542777552490e+00,3.861964979117744094e-06,5.873371115164192147e-06
1.650021964877506742e+00,1.980021542777552490e+00,3.861964979117744094e-06,5.873371115164192147e-06,1.650042338790571383e+00,1.980055530407401676e+00,3.861920960574139303e-06,5.873371542976029142e-06
3.300064303668078125e+00,3.960077073184954166e+00,7.723885939691883397e-06,1.174674265814022129e-05,1.650080117658003331e+00,1.980096313275905295e+00,3.861942789491704667e-06,5.873371606875065588e-06
4.950144421326081456e+00,5.940173386460859462e+00,1.158582872918358806e-05,1.762011426501528688e-05,1.650112413069833472e+00,1.980134831420964581e+00,3.861943154266563681e-06,5.873371306869846353e-06
6.600256834395914929e+00,7.920308217881824042e+00,1.544777188345015175e-05,2.349348557188513323e-05,1.650144708703975560e+00,1.980173826677057214e+00,3.861942791353469533e-06,5.873370279048507707e-06
8.250401543099890489e+00,9.900482044558881256e+00,1.930971467480362128e-05,2.936685585093364094e-05,1.650176527714615204e+00,1.980212345402208030e+00,3.861942428386986898e-06,5.873373616285763047e-06
9.900578070814505693e+00,1.188069438996108929e+01,2.317165710319060818e-05,3.524022946721940398e-05,1.650209300661350298e+00,1.980249910621836307e+00,3.861943520386070558e-06,5.873371132823640710e-06
1.155078737147585599e+01,1.386094430058292559e+01,2.703360062357667873e-05,4.111360060004304469e-05,1.650241120122526439e+00,1.980289383563128780e+00,3.861943157301565740e-06,5.873371559626588620e-06
1.320102849159838243e+01,1.584123368414605437e+01,3.089554378087824447e-05,4.698697215966963331e-05,1.650272939802896133e+00,1.980327903067880868e+00,3.861942794385695018e-06,5.873371985997380320e-06
1.485130143140127856e+01,1.782156158721393524e+01,3.475748657526393949e-05,5.286034414566701363e-05,1.650304759702436286e+00,1.980365469113703369e+00,3.861942430972361846e-06,5.873372412380084692e-06
1.650160619110371485e+01,1.980192705632763861e+01,3.861942900623630134e-05,5.873371655804709833e-05,1.650337533536003320e+00,1.980405896495120999e+00,3.861942067949714150e-06,5.873367017807363491e-06
1.815194372463971817e+01,2.178233295282275961e+01,4.248137107418601549e-05,6.460708357585446182e-05,1.650369353938902606e+00,1.980442509457436273e+00,3.861944614633369395e-06,5.873373264327286713e-06
1.980231307857862078e+01,2.376277546228019588e+01,4.634331568881938488e-05,7.048045684018174853e-05,1.650401174450546904e+00,1.980482937530808840e+00,3.861941341288937515e-06,5.873373689857598113e-06
