Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.900065719921451457e-01,9.900065719921451457e-01,2.655089269315647816e-06,2.655089269315647816e-06
9.900065719921451457e-01,9.900065719921451457e-01,2.655089269315647816e-06,2.655089269315647816e-06,9.900144516941777884e-01,9.900144516941777884e-01,2.655082220057379370e-06,2.655082220057379370e-06
1.980021023686322934e+00,1.980021023686322934e+00,5.310171489373027186e-06,5.310171489373027186e-06,9.900262653659264167e-01,9.900262653659264167e-01,2.655085902388866153e-06,2.655085902388866153e-06
2.970047289052249351e+00,2.970047289052249351e+00,7.965257391761893340e-06,7.965257391761893340e-06,9.900367677695989244e-01,9.900367677695989244e-01,2.655085765101572939e-06,2.655085765101572939e-06
3.960084056821848275e+00,3.960084056821848275e+00,1.062034315686346628e-05,1.062034315686346628e-05,9.900472702164431205e-01,9.900472702164431205e-01,2.655085991500896219e-06,2.655085991500896219e-06
4.950131327038291396e+00,4.950131327038291396e+00,1.327542914836436250e-05,1.327542914836436250e-05,9.900577726970940518e-01,9.900577726970940518e-01,2.655084762622535115e-06,2.655084762622535115e-06
5.940189099735385447e+00,5.940189099735385447e+00,1.593051391098689761e-05,1.593051391098689761e-05,9.900682752360454586e-01,9.900682752360454586e-01,2.655086444241841199e-06,2.655086444241841199e-06
6.930257374971430906e+00,6.930257374971430906e+00,1.858560035522873881e-05,1.858560035522873881e-05,9.900792546460071009e-01,9.900792546460071009e-01,2.655085215330167984e-06,2.655085215330167984e-06
7.920336629617438007e+00,7.920336629617438007e+00,2.124068557055890680e-05,2.124068557055890680e-05,9.900888035652002372e-01,9.900888035652002372e-01,2.655085441655135323e-06,2.655085441655135323e-06
8.910425433182638244e+00,8.910425433182638244e+00,2.389577101221404212e-05,2.389577101221404212e-05,9.901002599185275699e-01,9.901002599185275699e-01,2.655085667959584137e-06,2.655085667959584137e-06
9.900525693101165814e+00,9.900525693101165814e+00,2.655085668017362626e-05,2.655085668017362626e-05,9.901102857686474579e-01,9.901102857686474579e-01,2.655085894243514424e-06,2.655085894243514424e-06
1.089063597886981327e+01,1.089063597886981327e+01,2.920594257441714068e-05,2.920594257441714068e-05,9.901212653448361323e-01,9.901212653448361323e-01,2.655084665494986530e-06,2.655084665494986530e-06
1.188075724421464940e+01,1.188075724421464940e+01,3.186102723991212721e-05,3.186102723991212721e-05,9.901312912931707899e-01,9.901312912931707899e-01,2.655086346753675114e-06,2.655086346753675114e-06
1.287088853550782019e+01,1.287088853550782019e+01,3.451611358666580232e-05,3.451611358666580232e-05,9.901422709539122735e-01,9.901422709539122735e-01,2.655085117971841885e-06,2.655085117971841885e-06
1.386103080646173247e+01,1.386103080646173247e+01,3.717119870463764421e-05,3.717119870463764421e-05,9.901522969875014013e-01,9.901522969875014013e-01,2.655086799181761699e-06,2.655086799181761699e-06
1.485118310344923387e+01,1.485118310344923387e+01,3.982628550381940591e-05,3.982628550381940591e-05,9.901623230179623647e-01,9.901623230179623647e-01,2.655085570366609582e-06,2.655085570366609582e-06
1.584134542646719623e+01,1.584134542646719623e+01,4.248137107418601549e-05,4.248137107418601549e-05,9.901733028491008781e-01,9.901733028491008781e-01,2.655087251527780956e-06,2.655087251527780956e-06
