Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.675031936056923243e-01,4.004997278171975594e+00,-3.905761319832830662e-06,1.643680613818090415e-05
6.675031936056923243e-01,4.004997278171975594e+00,-3.905761319832830662e-06,1.643680613818090415e-05,6.675302846544566293e-01,4.005203327348249687e+00,-3.905895901567515048e-06,1.643725190467466276e-05
1.335033478260148954e+00,8.010200605520225281e+00,-7.811657221400345710e-06,3.287405804285556692e-05,6.675418188302320033e-01,4.005251059762963806e+00,-3.905828210694553882e-06,1.643702828987565583e-05
2.002575297090380957e+00,1.201545166528318909e+01,-1.171748543209489959e-05,4.931108633273122274e-05,6.675585382857689432e-01,4.005352198168941058e+00,-3.905828914105573770e-06,1.643702585574304844e-05
2.670133835376149900e+00,1.602080386345213014e+01,-1.562331434620047336e-05,6.574811218847427118e-05,6.675752574853084376e-01,4.005450473899209385e+00,-3.905828889921890353e-06,1.643702923815466811e-05
3.337709092861458338e+00,2.002625433735133953e+01,-1.952914323612236371e-05,8.218514142662893928e-05,6.675919764307938209e-01,4.005551609329174312e+00,-3.905828137910091844e-06,1.643703261551469170e-05
4.005301069292252159e+00,2.403180594668051384e+01,-2.343497137403245556e-05,9.862217404214363098e-05,6.676086951139685866e-01,4.005652743131573601e+00,-3.905828841261050320e-06,1.643703016848181318e-05
4.672909764406220745e+00,2.803745868981208744e+01,-2.734080021529350588e-05,1.150592042106254442e-04,6.676254135464887440e-01,4.005751967800126323e+00,-3.905828089123823172e-06,1.643702771690681874e-05
5.340535177952709489e+00,3.204321065761221377e+01,-3.124662830441732905e-05,1.314962319275322629e-04,6.676426085351518935e-01,4.005853098470971929e+00,-3.905828792249704665e-06,1.643702526123391955e-05
6.008177786487861383e+00,3.604906375608318569e+01,-3.515245709666703372e-05,1.479332571887661825e-04,6.676588496227342517e-01,4.005954227607269047e+00,-3.905829495324225468e-06,1.643702280101932457e-05
6.675836636110595634e+00,4.005501798369045474e+01,-3.905828659199125918e-05,1.643702799897855070e-04,6.676755672955243526e-01,4.006055355721727551e+00,-3.905827287883730154e-06,1.643703197595720649e-05
7.343512203406119987e+00,4.406107333941218229e+01,-4.296411387987498934e-05,1.808073119657427135e-04,6.676927615072090205e-01,4.006152666991631861e+00,-3.905827990832822318e-06,1.643704114622383046e-05
8.011204964913329007e+00,4.806722600640381415e+01,-4.686994187070781166e-05,1.972443531119665440e-04,6.677090018037308283e-01,4.006253790978973939e+00,-3.905831604216984242e-06,1.643702703319700254e-05
8.678913966717059836e+00,5.207347979738278809e+01,-5.077577347492479590e-05,2.136813801451635465e-04,6.677257187070768651e-01,4.006354913291666264e+00,-3.905829396588339194e-06,1.643701291642528611e-05
9.346639685424136701e+00,5.607983471067445436e+01,-5.468160287151313509e-05,2.301183930615888326e-04,6.677424353578285121e-01,4.006456036726355308e+00,-3.905827188763209606e-06,1.643704535095747831e-05
1.001438212078196521e+01,6.008629074740080966e+01,-5.858743006027634470e-05,2.465554384125463109e-04,6.677591517559857692e-01,4.006557154570913326e+00,-3.905824980963640085e-06,1.643700794813548203e-05
1.068214127253795098e+01,6.409284790197172299e+01,-6.249325504123998478e-05,2.629924463606817930e-04,6.677758678354770439e-01,4.006658275215201570e+00,-3.905828594253442539e-06,1.643704037266132843e-05
1.134991714037342803e+01,6.809950617718692456e+01,-6.639908363549342732e-05,2.794294867333431214e-04,6.677935372579835160e-01,4.006751759736133067e+00,-3.905832207303920915e-06,1.643702623883852706e-05
1.201771067763141154e+01,7.210625793692305763e+01,-7.030491584279734824e-05,2.958665129721816485e-04,6.678092993456683502e-01,4.006860507531442295e+00,-3.905824178229689268e-06,1.643703537693277971e-05
1.268551997697707989e+01,7.611311844445449992e+01,-7.421074002102703751e-05,3.123035483491144282e-04,6.678260145702044071e-01,4.006953988637988573e+00,-3.905833612508771507e-06,1.643702123485735666e-05
1.335334599154728430e+01,8.012007243309248850e+01,-7.811657363353580901e-05,3.287405695839717848e-04,6.678436833597949374e-01,4.007055101678702158e+00,-3.905825583041570783e-06,1.643703036371225524e-05
1.402118967490707924e+01,8.412712753477119065e+01,-8.202239921657737980e-05,3.451775999476840401e-04,6.678594445415146907e-01,4.007163845477236919e+00,-3.905829196108691662e-06,1.643703948812019018e-05
1.468904911944859393e+01,8.813429138024842757e+01,-8.592822841268607146e-05,3.616146394358042302e-04,6.678761591481983118e-01,4.007257321554874352e+00,-3.905826987847353660e-06,1.643702533328479177e-05
1.535692527859679224e+01,9.214154870180330192e+01,-8.983405540053342512e-05,3.780516647690890220e-04,6.678938269939198591e-01,4.007358427985295179e+00,-3.905830600723465221e-06,1.643701117448468285e-05
1.602481910559071210e+01,9.614890712978859710e+01,-9.373988600125689034e-05,3.944886759435737049e-04,6.679095874990039761e-01,4.007459537400478666e+00,-3.905828392336671475e-06,1.643704355911687663e-05
1.669272869308971607e+01,1.001563666671890758e+02,-9.764571439359356181e-05,4.109257195026905815e-04,6.679272549176111795e-01,4.007553005774596500e+00,-3.905826183753393190e-06,1.643700611831858506e-05
1.736065594800732725e+01,1.041639196729636723e+02,-1.015515405773469550e-04,4.273627256210091666e-04,6.679430147150426933e-01,4.007661747443833633e+00,-3.905835617888967718e-06,1.643706176599336703e-05
1.802859896272236995e+01,1.081715814204075059e+02,-1.054573761952359227e-04,4.437997873870025336e-04,6.679606817143124431e-01,4.007762845308320721e+00,-3.905827587911826055e-06,1.643702431672387863e-05
1.869655964443668239e+01,1.121793442657158266e+02,-1.093632037831477488e-04,4.602368117037264122e-04,6.679764413288999947e-01,4.007856313591787512e+00,-3.905819557780998734e-06,1.643703340919690963e-05
1.936453608576558238e+01,1.161872005793076141e+02,-1.132690233409287475e-04,4.766738451129233218e-04,6.679941073723583145e-01,4.007965040824615244e+00,-3.905834813267000790e-06,1.643699595320916246e-05
2.003253019313794070e+01,1.201951656201322294e+02,-1.171748581541957483e-04,4.931108410661324843e-04,6.680098664814408949e-01,4.008058511469982932e+00,-3.905826783010717725e-06,1.643705157979686270e-05
2.070054005961938159e+01,1.242032241316022123e+02,-1.210806849372064660e-04,5.095478926459293470e-04,6.680275322221937984e-01,4.008159602380970910e+00,-3.905830395521439602e-06,1.643701411578352579e-05
2.136856759184157539e+01,1.282113837339831832e+02,-1.249865153327279056e-04,5.259849067617128728e-04,6.680432908413322934e-01,4.008260697486974777e+00,-3.905822365048736231e-06,1.643702319000948844e-05
2.203661088268290769e+01,1.322196444314701580e+02,-1.288923376977766419e-04,5.424219299517223612e-04,6.680609557972907453e-01,4.008361791196534796e+00,-3.905837620556666277e-06,1.643703225956915336e-05
2.270467183848019843e+01,1.362280062226666928e+02,-1.327981753183333081e-04,5.588589622112915146e-04,6.680767139109242692e-01,4.008462883509423591e+00,-3.905829589958534267e-06,1.643704132379703725e-05
