Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.670108826894420861e+00,8.010087933604543409e+00,-1.952530961625194509e-06,3.059498030254265171e-05
2.670108826894420861e+00,8.010087933604543409e+00,-1.952530961625194509e-06,3.059498030254265171e-05,2.670197100745622887e+00,8.010829862648995103e+00,-1.953297661078437249e-06,3.059633169964005487e-05
5.340305927640043748e+00,1.602091779625353851e+01,-3.905828622703631758e-06,6.119131200218270658e-05,2.670382651299009424e+00,8.011147374578214908e+00,-1.952914393266884394e-06,3.059565750297901104e-05
8.010688578939053173e+00,2.403206517083175342e+01,-5.858743015970516152e-06,9.178696950516171762e-05,2.670534821342501530e+00,8.011605083376029057e+00,-1.952914205429829558e-06,3.059565846615174922e-05
1.068122340028155470e+01,3.204367025420778248e+01,-7.811657221400345710e-06,1.223826279713134668e-04,2.670688420932370022e+00,8.012066604500475364e+00,-1.952914017362179319e-06,3.059565940037494770e-05
1.335191182121392472e+01,4.005573685870825784e+01,-9.764571238762525030e-06,1.529782873716884145e-04,2.670842019556893376e+00,8.012522399643941640e+00,-1.952914193332374562e-06,3.059565448626448800e-05
1.602275384077081810e+01,4.806825925835219948e+01,-1.171748543209489959e-05,1.835739418579529025e-04,2.670994663557703319e+00,8.012982007030757359e+00,-1.952914369185130381e-06,3.059564954396593733e-05
1.869374850432852142e+01,5.608124126538295684e+01,-1.367039980128002997e-05,2.141695914019188399e-04,2.671146352942255220e+00,8.013445427872625260e+00,-1.952914544920443388e-06,3.059565621220939583e-05
2.136489485727077664e+01,6.409468669325558210e+01,-1.562331434620047336e-05,2.447652476141282357e-04,2.671299948708153238e+00,8.013893584269951020e+00,-1.952913993218425036e-06,3.059567448957314917e-05
2.403619480597892988e+01,7.210858027752553312e+01,-1.757622833941889840e-05,2.753609221037013849e-04,2.671453543478580883e+00,8.014360812845708892e+00,-1.952914896703465317e-06,3.059564618455889225e-05
2.670764834945751076e+01,8.012294109037124201e+01,-1.952914323612236371e-05,3.059565682882602771e-04,2.671607137323505299e+00,8.014820410777446114e+00,-1.952914344874744388e-06,3.059566440414049739e-05
2.937925548678101606e+01,8.813776150114868813e+01,-2.148205758099710810e-05,3.365522326924007745e-04,2.671758822907900566e+00,8.015272371910228344e+00,-1.952913793035347456e-06,3.059565931858238344e-05
