Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.675359113783596143e+00,8.010351724905305559e+00,1.562367415722075645e-05,2.376045306657640886e-05
6.675359113783596143e+00,8.010351724905305559e+00,1.562367415722075645e-05,2.376045306657640886e-05,6.675692623443248763e+00,8.010909767026110018e+00,1.562295568413803835e-05,2.376046183898640590e-05
1.335105173722684491e+01,1.602126149193141558e+01,3.124662984135879480e-05,4.752091490556281477e-05,6.676315122967045212e+00,8.011577502050815980e+00,1.562331257696044544e-05,2.376045750165602837e-05
2.002736686019389012e+01,2.403283899398223156e+01,4.686994241831924025e-05,7.128137240721884314e-05,6.676839404924461263e+00,8.012209968269132787e+00,1.562331295004289010e-05,2.376045751642519299e-05
2.670420626511835138e+01,3.204504896225136434e+01,6.249325536836213035e-05,9.504182992364403613e-05,6.677364655530425352e+00,8.012836729708091354e+00,1.562331622918373107e-05,2.376045751777956479e-05
3.338157092064877673e+01,4.005788569195945570e+01,7.811657159754586141e-05,1.188022874414236009e-04,6.677893735980148904e+00,8.013473046508082120e+00,1.562331659406966829e-05,2.376045168565063623e-05
4.005946465662892564e+01,4.807135873846753782e+01,9.373988819161552970e-05,1.425627391270742372e-04,6.678419016069312875e+00,8.014101751374830940e+00,1.562331113530639832e-05,2.376045748038615015e-05
4.673788367269823851e+01,5.608546048984236876e+01,1.093631993269219280e-04,1.663231966074603873e-04,6.678944311510583987e+00,8.014734289476940887e+00,1.562331731288523254e-05,2.376046326085098849e-05
5.341682798420882250e+01,6.410019477931930965e+01,1.249865166398071606e-04,1.900836598683113758e-04,6.679469621565637283e+00,8.015359213798319615e+00,1.562331766650227054e-05,2.376045738884663546e-05
6.009629760577445978e+01,7.211555399311762926e+01,1.406098343063094311e-04,2.138441172571580113e-04,6.679994945690289398e+00,8.015999417794787973e+00,1.562330637630942307e-05,2.376045150384714362e-05
6.677629255146474918e+01,8.013155341091241723e+01,1.562331406826188542e-04,2.376045687610051549e-04,6.680520286138232677e+00,8.016624379413087809e+00,1.562331836242849734e-05,2.376046888247801306e-05
7.345681283760298186e+01,8.814817779032550504e+01,1.718564590450473515e-04,2.613650376434831679e-04,6.681049455213170063e+00,8.017256985944811731e+00,1.562330706494002635e-05,2.376043969386942454e-05
8.013786229281615192e+01,9.616543477627031677e+01,1.874797661099873779e-04,2.851254773373525925e-04,6.681578641100841764e+00,8.017889614568630918e+00,1.562331904281439362e-05,2.376045704563056575e-05
8.681944093391699369e+01,1.041833243908389477e+02,2.031030851528017715e-04,3.088859343829831582e-04,6.682100210095555326e+00,8.018514629622004009e+00,1.562331937728347257e-05,2.376047438296319866e-05
9.350154114401254901e+01,1.122018390204609517e+02,2.187264045300852441e-04,3.326464087659463569e-04,6.682621792591959320e+00,8.019154921126258273e+00,1.562330806907481708e-05,2.376044515571150342e-05
1.001841629366045083e+02,1.202209939415872100e+02,2.343497125991600611e-04,3.564068539216578603e-04,6.683151023311225458e+00,8.019787604088918442e+00,1.562332003469450140e-05,2.376046246573622778e-05
1.068673139599157338e+02,1.282407815456761284e+02,2.499730326338545625e-04,3.801673163873940881e-04,6.683680266646149448e+00,8.020412669765931923e+00,1.562330871941394750e-05,2.376045648736294091e-05
1.135509942265618832e+02,1.362611942154420603e+02,2.655963413532685100e-04,4.039277728747570290e-04,6.684209527570459386e+00,8.021037752700095780e+00,1.562332067701270415e-05,2.376045049622409503e-05
1.202352037541323426e+02,1.442822319681421561e+02,2.812196620302812142e-04,4.276882233709811240e-04,6.684731169140079032e+00,8.021678118568530635e+00,1.562330935421697578e-05,2.376044449187663093e-05
1.269199349232724217e+02,1.523039100867106868e+02,2.968429713844981900e-04,4.514486678628577550e-04,6.685260460030718832e+00,8.022303244199321171e+00,1.562332130379567212e-05,2.376048501872630222e-05
1.336051953833031405e+02,1.603262133309100079e+02,3.124662926882938621e-04,4.752091528815840572e-04,6.685782131017106167e+00,8.022943638944155964e+00,1.562330997392937350e-05,2.376043244334155547e-05
