Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.600066217666624713e-01,1.980005337649333397e+00,-4.827194316958475432e-07,7.562929890888696643e-06
6.600066217666624713e-01,1.980005337649333397e+00,-4.827194316958475432e-07,7.562929890888696643e-06,6.600120641763136398e-01,1.980050784474680414e+00,-4.827663218816652356e-07,7.563012389552665488e-06
1.320018685942976111e+00,3.960056122124013811e+00,-9.654857535775127788e-07,1.512594228044136213e-05,6.600234074749873336e-01,1.980070123984536856e+00,-4.827428170101871013e-07,7.562971925284906269e-06
1.980042093417963445e+00,5.940126246108550667e+00,-1.448228570587699880e-06,2.268891420572626840e-05,6.600327837914223839e-01,1.980098165871646998e+00,-4.827427772686031559e-07,7.562971477836882134e-06
2.640074877209385829e+00,7.920224411980197665e+00,-1.930971347856303036e-06,3.025188568356315053e-05,6.600420408835323549e-01,1.980125730872035028e+00,-4.827430103093046754e-07,7.562972485191739758e-06
3.300116918092918183e+00,9.900350142852232693e+00,-2.413714358165607711e-06,3.781485816875489029e-05,6.600514171719567003e-01,1.980154726366119888e+00,-4.827426975630111894e-07,7.562970581884577003e-06
3.960168335264874884e+00,1.188050486921835258e+01,-2.896457055728618901e-06,4.537782875063946729e-05,6.600605550253630938e-01,1.980181814417985464e+00,-4.827431125698043108e-07,7.562971588372574333e-06
4.620228890290237977e+00,1.386068668363633805e+01,-3.379200168298423212e-06,5.294080033901204163e-05,6.600704081215686969e-01,1.980210809828845342e+00,-4.827426180788725988e-07,7.562969684242603773e-06
5.280299298411806674e+00,1.584089749346518339e+01,-3.861942786377295810e-06,6.050377002325464540e-05,6.600793075290658507e-01,1.980238851519379395e+00,-4.827428510083968087e-07,7.562970689863795018e-06
5.940378605940872525e+00,1.782113634498456278e+01,-4.344685637385692619e-06,6.806674071311844042e-05,6.600886837571469101e-01,1.980264985679710321e+00,-4.827430840491699025e-07,7.562971695029567141e-06
6.600467289698019435e+00,1.980140133066427310e+01,-4.827428721434862522e-06,7.562971240814800756e-05,6.600980599755459366e-01,1.980294934774082805e+00,-4.827425895571561059e-07,7.562972699739960798e-06
7.260565349673565372e+00,2.178169626543835591e+01,-5.310171310992018627e-06,8.319268510788796836e-05,6.601074361746608332e-01,1.980322976352663744e+00,-4.827428225976759368e-07,7.562973703772958491e-06
7.920672785848226205e+00,2.376201924179101965e+01,-5.792914133589694564e-06,9.075565881166092685e-05,6.601172891960986888e-01,1.980349110207960450e+00,-4.827426918160531550e-07,7.562968887689594673e-06
8.580790075044324894e+00,2.574236835199898010e+01,-6.275656825405747719e-06,9.831862769935052152e-05,6.601257116940733027e-01,1.980379059371927042e+00,-4.827432886792161951e-07,7.562975711182916695e-06
9.240915786738398197e+00,2.772274741137090714e+01,-6.758400114084963914e-06,1.058816034105334382e-04,6.601355646896678309e-01,1.980407100492818984e+00,-4.827427940749722270e-07,7.562965073815844440e-06
9.901051351428066027e+00,2.970315451186372613e+01,-7.241142908159936141e-06,1.134445684843492827e-04,6.601454176633634319e-01,1.980435142244768798e+00,-4.827430271156902636e-07,7.562977716371439515e-06
1.056119676909142946e+01,3.168358965410849493e+01,-7.723885935275626405e-06,1.210075462007207222e-04,6.601533632965903564e-01,1.980463183244900449e+00,-4.827425326215131448e-07,7.562967078491783578e-06
1.122135013238801982e+01,3.366405283735339538e+01,-8.206628467897139550e-06,1.285705132792125057e-04,6.601641699078122372e-01,1.980489316945138967e+00,-4.827427655509573102e-07,7.562968080190792149e-06
1.188151430229583205e+01,3.564454215429853434e+01,-8.689371233448096860e-06,1.361334813594032979e-04,6.601730691708560528e-01,1.980519266248052190e+00,-4.827429987026696971e-07,7.562980721338333863e-06
1.254168737146668811e+01,3.762506142054658653e+01,-9.172114232150766557e-06,1.436964620807416318e-04,6.601819684196286175e-01,1.980545399429900044e+00,-4.827432317435850924e-07,7.562970082134812862e-06
1.320186933988631672e+01,3.960560681997648658e+01,-9.654857463894351649e-06,1.512594321628764446e-04,6.601918213288637816e-01,1.980575348249082879e+00,-4.827427371371778022e-07,7.562971082467929984e-06
1.386206116121518050e+01,4.158618216822556946e+01,-1.013760020103152945e-05,1.588224032453443746e-04,6.602007205491329245e-01,1.980601481742212400e+00,-4.827429701778407817e-07,7.562972082345736403e-06
1.452226188176431343e+01,4.356678364996778186e+01,-1.062034317120937023e-05,1.663853753276901110e-04,6.602105734299037465e-01,1.980631430515543911e+00,-4.827424755704797323e-07,7.562973081768259226e-06
1.518247245519421718e+01,4.554741508048332577e+01,-1.110308564677984997e-05,1.739483484094583702e-04,6.602194726216641385e-01,1.980661378741672252e+00,-4.827427086108886019e-07,7.562962441271854240e-06
1.584269192781588131e+01,4.752807645922499802e+01,-1.158582835539073857e-05,1.815113108507302245e-04,6.602293254619553409e-01,1.980683697219838280e+00,-4.827429417625484729e-07,7.562975079335599714e-06
1.650292125327783666e+01,4.950876015644483630e+01,-1.206857129715328704e-05,1.890742859300658242e-04,6.602372709743953294e-01,1.980717460743690594e+00,-4.827424471541066095e-07,7.562964438326719467e-06
1.716315852425223198e+01,5.148947761718852689e+01,-1.255131374430739365e-05,1.966372503683925437e-04,6.602480774480739001e-01,1.980743595205083807e+00,-4.827426800834643775e-07,7.562988714059591926e-06
1.782340660170030588e+01,5.347022121239361070e+01,-1.303405642439085803e-05,2.042002390824521356e-04,6.602569765818593339e-01,1.980769726497769057e+00,-4.827429132350954493e-07,7.562954794139062874e-06
1.848366357828216522e+01,5.545099093889137976e+01,-1.351679933762595348e-05,2.117631938765911985e-04,6.602658757013735169e-01,1.980799675709569385e+00,-4.827431462759295295e-07,7.562967429983853077e-06
1.914392945398353874e+01,5.743179061460094914e+01,-1.399954248390188301e-05,2.193261613065750515e-04,6.602766821276304654e-01,1.980825809433596874e+00,-4.827433793169855322e-07,7.562980065331373954e-06
1.980420613611116920e+01,5.941261642403454601e+01,-1.448228586321886854e-05,2.268891413719064255e-04,6.602855812465406871e-01,1.980855757308958687e+00,-4.827421570561506441e-07,7.562969422264596668e-06
2.046449171735770989e+01,6.139347218134350470e+01,-1.496502802027501918e-05,2.344521107941710222e-04,6.602944802925705403e-01,1.980881890975439319e+00,-4.827438453990755149e-07,7.562982056525665653e-06
2.112478619765028043e+01,6.337435407231894402e+01,-1.544777186567409470e-05,2.420150928506966878e-04,6.603033793848567257e-01,1.980911838758807164e+00,-4.827426232483057820e-07,7.562971412724585341e-06
2.178508957703513715e+01,6.535526591107775118e+01,-1.593051448892240048e-05,2.495780642634212732e-04,6.603122784330892614e-01,1.980937970800738412e+00,-4.827428561778363447e-07,7.562960768954323475e-06
2.244540185546822642e+01,6.733620388187848960e+01,-1.641325734510023682e-05,2.571410250323755966e-04,6.603230847834531403e-01,1.980967920012972172e+00,-4.827430893296385172e-07,7.562973401540001948e-06
2.310572494025167956e+01,6.931717180189146177e+01,-1.689600043442987534e-05,2.647039984339155986e-04,6.603319838358849836e-01,1.980997867641079324e+00,-4.827418670650089215e-07,7.562962756813473766e-06
2.376605692408756454e+01,7.129816966953254109e+01,-1.737874230149488426e-05,2.722669611907290723e-04,6.603408828058263680e-01,1.981020185381666465e+00,-4.827435554111643760e-07,7.562975388756762452e-06
2.442639780689339091e+01,7.327918985491420756e+01,-1.786148585690604864e-05,2.798299365794858348e-04,6.603516891452798632e-01,1.981050134611308522e+00,-4.827423331455827152e-07,7.562988019536864837e-06
2.508674949603867077e+01,7.526023998952551608e+01,-1.834422819005163135e-05,2.873929245990226996e-04,6.603586808076542525e-01,1.981080080321177661e+00,-4.827425662968766679e-07,7.562954097246378255e-06
2.574710817684632502e+01,7.724132006984669374e+01,-1.882697075634850802e-05,2.949558786962690779e-04,6.603694870437095688e-01,1.981110031359889945e+00,-4.827442544237725618e-07,7.562990003624888921e-06
2.640747766389003459e+01,7.922243010120658369e+01,-1.930971501077228058e-05,3.025188686998939668e-04,6.603783860671157413e-01,1.981132345183041821e+00,-4.827415771806814416e-07,7.562956081174374099e-06
2.706785604995715033e+01,8.120356244638962551e+01,-1.979245658795296203e-05,3.100818247810683409e-04,6.603891922709408391e-01,1.981169926138647952e+00,-4.827432653080211808e-07,7.562968710134046826e-06
2.772824524222809117e+01,8.318473237252827346e+01,-2.027519985326098321e-05,3.176447934912023877e-04,6.603961838780705307e-01,1.981184611715306687e+00,-4.827434983491940741e-07,7.562981338596612858e-06
2.838864142610616170e+01,8.516591698424358015e+01,-2.075794335161017728e-05,3.252077748297990006e-04,6.604069901322020542e-01,1.981222190793175741e+00,-4.827422763013913603e-07,7.562970691155513486e-06
2.904904841623836376e+01,8.714713917503675589e+01,-2.124068562791156864e-05,3.327707455209545141e-04,6.604158890217490807e-01,1.981252137989727657e+00,-4.827425092305831099e-07,7.562960043079451113e-06
2.970946430526011284e+01,8.912839131302648354e+01,-2.172342813714215175e-05,3.403337055640339652e-04,6.604247878970213037e-01,1.981274455194167672e+00,-4.827427422710275549e-07,7.562972670310797157e-06
3.036988909315713414e+01,9.110966576822065122e+01,-2.220617087941317931e-05,3.478966782343447623e-04,6.604355940633830357e-01,1.981304404406827757e+00,-4.827429753116922284e-07,7.562985296379173741e-06
3.103032468722051718e+01,9.309097017262747897e+01,-2.268891385472487153e-05,3.554596635307239361e-04,6.604444929082653459e-01,1.981326719318303731e+00,-4.827432083525872949e-07,7.562974647248020023e-06
3.169076918012878252e+01,9.507229689194578270e+01,-2.317165706307745883e-05,3.630226381779719561e-04,6.604514844353630565e-01,1.981364298437213733e+00,-4.827434415047282806e-07,7.562963998147874487e-06
3.235122066456414558e+01,9.705366119038299644e+01,-2.365440050458218711e-05,3.705856021761198306e-04,6.604641979067693569e-01,1.981386615410812624e+00,-4.827422192306051396e-07,7.562976622763094899e-06
3.301168486247091494e+01,9.903504780579380906e+01,-2.413714272381279225e-05,3.781485787988829255e-04,6.604711894072536893e-01,1.981416562273423665e+00,-4.827424522707683696e-07,7.562965972929052913e-06
3.367215605187816863e+01,1.010164643680672327e+02,-2.461988517608356062e-05,3.857115447718119784e-04,6.604819954977187990e-01,1.981438879073920134e+00,-4.827426853111518282e-07,7.562978596458282219e-06
3.433263804737588742e+01,1.029979032471411529e+02,-2.510262786139471245e-05,3.932745233682702606e-04,6.604889869714796191e-01,1.981476458239356475e+00,-4.827429183517690679e-07,7.562967945890235362e-06
3.499312703434736704e+01,1.049793797053805093e+02,-2.558537077974648151e-05,4.008374913141604960e-04,6.605036076293941960e-01,1.981498772493807792e+00,-4.827431513926065362e-07,7.562957294909270108e-06
3.565363064197676124e+01,1.069608784778743171e+02,-2.606811393113908805e-05,4.084004486090697661e-04,6.605067844767873453e-01,1.981528724148773790e+00,-4.827433844336676211e-07,7.562993190455950549e-06
3.631413742645354858e+01,1.089424072020230909e+02,-2.655085731557275567e-05,4.159634417995257166e-04,6.605214051006242926e-01,1.981551033069195000e+00,-4.827436174749557109e-07,7.562935992022515146e-06
3.697465883155417288e+01,1.109239582350922859e+02,-2.703360093304771138e-05,4.235263777915482318e-04,6.605283966268373774e-01,1.981588617349899550e+00,-4.827409399867230915e-07,7.562971886705249086e-06
3.763518722818101025e+01,1.129055468524421855e+02,-2.751634187303443447e-05,4.310893496782534809e-04,6.605353879243835991e-01,1.981610936534437428e+00,-4.827440835568000540e-07,7.563007779919051713e-06
3.829572261610539385e+01,1.148871577889766229e+02,-2.799908595659123453e-05,4.386523574581725326e-04,6.605461940200356707e-01,1.981640877683204849e+00,-4.827414061772349854e-07,7.562950581264926957e-06
