Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.005107506200908496e+00,4.005107506200908496e+00,1.074108638383998627e-05,1.074108638383998627e-05
4.005107506200908496e+00,4.005107506200908496e+00,1.074108638383998627e-05,1.074108638383998627e-05,4.005236459030196094e+00,4.005236459030196094e+00,1.074097101414247713e-05,1.074097101414247713e-05
8.010343965231104590e+00,8.010343965231104590e+00,2.148205739798246340e-05,2.148205739798246340e-05,4.005430742714979786e+00,4.005430742714979786e+00,1.074102735381235856e-05,1.074102735381235856e-05
1.201577470794608438e+01,1.201577470794608438e+01,3.222308475179482196e-05,3.222308475179482196e-05,4.005602617369389051e+00,4.005602617369389051e+00,1.074102839592522334e-05,1.074102839592522334e-05
1.602137732531547343e+01,1.602137732531547343e+01,4.296411314772004530e-05,4.296411314772004530e-05,4.005773541076482758e+00,4.005773541076482758e+00,1.074102943632125736e-05,1.074102943632125736e-05
2.002715086639195619e+01,2.002715086639195619e+01,5.370514258404130266e-05,5.370514258404130266e-05,4.005947328738386659e+00,4.005947328738386659e+00,1.074103047588866278e-05,1.074103047588866278e-05
2.403309819513034284e+01,2.403309819513034284e+01,6.444617305992996544e-05,6.444617305992996544e-05,4.006117304092665421e+00,4.006117304092665421e+00,1.074102569349969362e-05,1.074102569349969362e-05
2.803921549922300827e+01,2.803921549922300827e+01,7.518719875342965906e-05,7.518719875342965906e-05,4.006293005004284424e+00,4.006293005004284424e+00,1.074103255082398589e-05,1.074103255082398589e-05
3.204550850422729269e+01,3.204550850422729269e+01,8.592823130425364495e-05,8.592823130425364495e-05,4.006461078335242121e+00,4.006461078335242121e+00,1.074102776601485387e-05,1.074102776601485387e-05
3.605196958256253481e+01,3.605196958256253481e+01,9.666925907026849881e-05,9.666925907026849881e-05,4.006634877145067719e+00,4.006634877145067719e+00,1.074102880039486010e-05,1.074102880039486010e-05
4.005860445970760253e+01,4.005860445970760253e+01,1.074102878706633589e-04,1.074102878706633589e-04,4.006808678538050117e+00,4.006808678538050117e+00,1.074102401351277418e-05,1.074102401351277418e-05
4.406541313824565265e+01,4.406541313824565265e+01,1.181513118841761331e-04,1.181513118841761331e-04,4.006978668350917872e+00,4.006978668350917872e+00,1.074103668554903250e-05,1.074103668554903250e-05
4.807239180659657052e+01,4.807239180659657052e+01,1.288923485697251656e-04,1.288923485697251656e-04,4.007148659808009938e+00,4.007148659808009938e+00,1.074102607581344892e-05,1.074102607581344892e-05
5.207954046640458046e+01,5.207954046640458046e+01,1.396333746455386145e-04,1.396333746455386145e-04,4.007326285036384661e+00,4.007326285036384661e+00,1.074102710545076183e-05,1.074102710545076183e-05
5.608686675144096512e+01,5.608686675144096512e+01,1.503744017509893764e-04,1.503744017509893764e-04,4.007492467291534410e+00,4.007492467291534410e+00,1.074102813359366468e-05,1.074102813359366468e-05
6.009435921873249953e+01,6.009435921873249953e+01,1.611154298845830410e-04,1.611154298845830410e-04,4.007666282845995909e+00,4.007666282845995909e+00,1.074102916046431049e-05,1.074102916046431049e-05
6.410202550157849544e+01,6.410202550157849544e+01,1.718564590450473515e-04,1.718564590450473515e-04,4.007843916633731851e+00,4.007843916633731851e+00,1.074103018606269925e-05,1.074103018606269925e-05
6.810986941821222729e+01,6.810986941821222729e+01,1.825974892311100508e-04,1.825974892311100508e-04,4.008013921674972835e+00,4.008013921674972835e+00,1.074101957106282624e-05,1.074101957106282624e-05
7.211788333988720012e+01,7.211788333988720012e+01,1.933385088021728770e-04,1.933385088021728770e-04,4.008183931064564831e+00,4.008183931064564831e+00,1.074103223334585931e-05,1.074103223334585931e-05
7.612606727095176495e+01,7.612606727095176495e+01,2.040795410355187363e-04,2.040795410355187363e-04,4.008353941445506052e+00,4.008353941445506052e+00,1.074102161627369647e-05,1.074102161627369647e-05
8.013442121239727101e+01,8.013442121239727101e+01,2.148205626517924328e-04,2.148205626517924328e-04,4.008523957340386801e+00,4.008523957340386801e+00,1.074104591493546621e-05,1.074104591493546621e-05
8.414294516973765781e+01,8.414294516973765781e+01,2.255616085667278990e-04,2.255616085667278990e-04,4.008701603325846463e+00,4.008701603325846463e+00,1.074102365627118056e-05,1.074102365627118056e-05
8.815164677306350427e+01,8.815164677306350427e+01,2.363026322229990796e-04,2.363026322229990796e-04,4.008871622859203399e+00,4.008871622859203399e+00,1.074102467448688437e-05,1.074102467448688437e-05
