Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.368572970979610020e-06,9.899982906637615487e-01,-1.689598656830500860e-06,4.344668943863399090e-06
-1.368572970979610020e-06,9.899982906637615487e-01,-1.689598656830500860e-06,4.344668943863399090e-06,1.368573411212080021e-06,9.900122575870363706e-01,-1.689601511467922352e-06,4.344702454325611213e-06
4.402324700478824235e-13,1.980010548250797919e+00,-3.379200168298423212e-06,8.689371398189010303e-06,2.196835317687063604e-13,9.900131709422266280e-01,-1.689599818840477194e-06,4.344685396933901315e-06
6.599160018165887839e-13,2.970023719193024547e+00,-5.068799987138900405e-06,1.303405679512291162e-05,2.200130703937715997e-13,9.900184354318137814e-01,-1.689600126946063509e-06,4.344686165557684574e-06
8.799290722103603836e-13,3.960042154624838329e+00,-6.758400114084963914e-06,1.737874296068059619e-05,2.198485541412164141e-13,9.900236998765739038e-01,-1.689600071225229272e-06,4.344686206243036865e-06
1.099777626351576798e-12,4.950065854501412232e+00,-8.448000185310193186e-06,2.172342916692363306e-05,2.201975550299360753e-13,9.900289642779549482e-01,-1.689600015721336266e-06,4.344686247289924840e-06
1.319975181381512873e-12,5.940094818779367181e+00,-1.013760020103152945e-05,2.606811541421355790e-05,2.187868660432817975e-13,9.900337517641135676e-01,-1.689599959879266203e-06,4.344683377338022300e-06
1.538762047424794670e-12,6.930128570543480748e+00,-1.182720016091079565e-05,3.041279879155158020e-05,2.211285897285938841e-13,9.900394929571234570e-01,-1.689599176715157823e-06,4.344687783712359295e-06
1.759890637153388555e-12,7.920168063500604205e+00,-1.351679933762595348e-05,3.475748657526393949e-05,2.188630761489075200e-13,9.900447571923258749e-01,-1.689600576273912099e-06,4.344683458606622142e-06
1.978753713302296075e-12,8.910212820692930080e+00,-1.520639991389986558e-05,3.910217003387056163e-05,2.210272240228164961e-13,9.900500214576162250e-01,-1.689600520530009766e-06,4.344687864555901063e-06
2.199780937325112571e-12,9.900262842150546305e+00,-1.689600043442987534e-05,4.344685789842646270e-05,2.204380481565430886e-13,9.900548087374598794e-01,-1.689599009695659683e-06,4.344683539545058704e-06
2.420218985481655659e-12,1.089031765088800618e+01,-1.858559944412553502e-05,4.779154143797152140e-05,2.180948451875660943e-13,9.900605497479197936e-01,-1.689600409135448182e-06,4.344685035104431663e-06
