Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.335027225696958642e+00,4.005021803479568376e+00,-9.763613198150979616e-07,1.529765954394501134e-05
1.335027225696958642e+00,4.005021803479568376e+00,-9.763613198150979616e-07,1.529765954394501134e-05,1.335049175310675018e+00,4.005207283673653862e+00,-9.765529036480317034e-07,1.529799885718913937e-05
2.670076401007633660e+00,8.010229087153222238e+00,-1.952914223463129665e-06,3.059565840113415071e-05,1.335095563068615210e+00,4.005287378830631795e+00,-9.764571775790913064e-07,1.529782594719490788e-05
4.005171964076248869e+00,1.201551646598385403e+01,-2.929371401042220971e-06,4.589348434832905859e-05,1.335133963563794879e+00,4.005401330269684479e+00,-9.764572216614107865e-07,1.529782765385364799e-05
5.340305927640043748e+00,1.602091779625353851e+01,-3.905828622703631758e-06,6.119131200218270658e-05,1.335171887105055966e+00,4.005516235082531296e+00,-9.764570837764862763e-07,1.529782935685410701e-05
6.675477814745099714e+00,2.002643403133606981e+01,-4.882285706480118034e-06,7.648914135903681359e-05,1.335210764193953459e+00,4.005631139495683612e+00,-9.764573094903981182e-07,1.529782814612490403e-05
8.010688578939053173e+00,2.403206517083175342e+01,-5.858743015970516152e-06,9.178696950516171762e-05,1.335248210665522350e+00,4.005746043707212323e+00,-9.764568078919633943e-07,1.529783275214732243e-05
9.345936789604575523e+00,2.803781121453896574e+01,-6.835199823862479547e-06,1.070848022573090401e-04,1.335286610676979180e+00,4.005859039668816735e+00,-9.764573975378661638e-07,1.529782571400442679e-05
1.068122340028155470e+01,3.204367025420778248e+01,-7.811657221400345710e-06,1.223826279713134668e-04,1.335325010579062166e+00,4.005973942929081488e+00,-9.764568957147152931e-07,1.529782449270249080e-05
1.201654841086061687e+01,3.604964419713686397e+01,-8.788114117115061004e-06,1.376804524640159576e-04,1.335363410353307856e+00,4.006092661571393876e+00,-9.764571216474640262e-07,1.529783490767245690e-05
1.335191182121392472e+01,4.005573685870825784e+01,-9.764571238762525030e-06,1.529782873716884145e-04,1.335401810006525025e+00,4.006203748459661540e+00,-9.764573475799417088e-07,1.529782203934899822e-05
