Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.980026268951008195e+00,1.980026268951008195e+00,5.310185677281807889e-06,5.310185677281807889e-06
1.980026268951008195e+00,1.980026268951008195e+00,5.310185677281807889e-06,5.310185677281807889e-06,1.980057787870840080e+00,1.980057787870840080e+00,5.310157479581658390e-06,5.310157479581658390e-06
3.960084056821848275e+00,3.960084056821848275e+00,1.062034315686346628e-05,1.062034315686346628e-05,1.980105042913537172e+00,1.980105042913537172e+00,5.310170754123431333e-06,5.310170754123431333e-06
5.940189099735385447e+00,5.940189099735385447e+00,1.593051391098689761e-05,1.593051391098689761e-05,1.980147529882052559e+00,1.980147529882052559e+00,5.310171659572009183e-06,5.310171659572009183e-06
7.920336629617438007e+00,7.920336629617438007e+00,2.124068557055890680e-05,2.124068557055890680e-05,1.980189063483727807e+00,1.980189063483727807e+00,5.310171109614719460e-06,5.310171109614719460e-06
9.900525693101165814e+00,9.900525693101165814e+00,2.655085668017362626e-05,2.655085668017362626e-05,1.980231551113483590e+00,1.980231551113483590e+00,5.310170559738500954e-06,5.310170559738500954e-06
1.188075724421464940e+01,1.188075724421464940e+01,3.186102723991212721e-05,3.186102723991212721e-05,1.980273562247083063e+00,1.980273562247083063e+00,5.310171464725516998e-06,5.310171464725516998e-06
1.386103080646173247e+01,1.386103080646173247e+01,3.717119870463764421e-05,3.717119870463764421e-05,1.980314620005463766e+00,1.980314620005463766e+00,5.310172369548371281e-06,5.310172369548371281e-06
1.584134542646719623e+01,1.584134542646719623e+01,4.248137107418601549e-05,4.248137107418601549e-05,1.980358539196075185e+00,1.980358539196075185e+00,5.310170363785505913e-06,5.310170363785505913e-06
1.782170396566327142e+01,1.782170396566327142e+01,4.779154143797152140e-05,4.779154143797152140e-05,1.980399597622145791e+00,1.980399597622145791e+00,5.310171268533021697e-06,5.310171268533021697e-06
1.980210356328541721e+01,1.980210356328541721e+01,5.310171270650454310e-05,5.310171270650454310e-05,1.980441610166035815e+00,1.980441610166035815e+00,5.310175083062992072e-06,5.310175083062992072e-06
2.178254517345145302e+01,2.178254517345145302e+01,5.841188778956753517e-05,5.841188778956753517e-05,1.980483622859363635e+00,1.980483622859363635e+00,5.310170166700854525e-06,5.310170166700854525e-06
2.376302879631081666e+01,2.376302879631081666e+01,6.372205795626838969e-05,6.372205795626838969e-05,1.980525636007552492e+00,1.980525636007552492e+00,5.310171070764828274e-06,5.310171070764828274e-06
2.574355443231836915e+01,2.574355443231836915e+01,6.903222902703321797e-05,6.903222902703321797e-05,1.980567649495341698e+00,1.980567649495341698e+00,5.310171974886671313e-06,5.310171974886671313e-06
2.772412208181371085e+01,2.772412208181371085e+01,7.434240100191988928e-05,7.434240100191988928e-05,1.980609663322731251e+00,1.980609663322731251e+00,5.310172878400331144e-06,5.310172878400331144e-06
2.970473174513644210e+01,2.970473174513644210e+01,7.965257388032022043e-05,7.965257388032022043e-05,1.980651677305306890e+00,1.980651677305306890e+00,5.310167961789145582e-06,5.310167961789145582e-06
3.168538342244174899e+01,3.168538342244174899e+01,8.496274184210936601e-05,8.496274184210936601e-05,1.980695599505597926e+00,1.980695599505597926e+00,5.310174685632253308e-06,5.310174685632253308e-06
3.366607902194734692e+01,3.366607902194734692e+01,9.027291652774161932e-05,9.027291652774161932e-05,1.980733799102694093e+00,1.980733799102694093e+00,5.310169768532580457e-06,5.310169768532580457e-06
3.564681282105004101e+01,3.564681282105004101e+01,9.558308629627419977e-05,9.558308629627419977e-05,1.980777721786232348e+00,1.980777721786232348e+00,5.310170671673572896e-06,5.310170671673572896e-06
3.762759054283627336e+01,3.762759054283627336e+01,1.008932569679477727e-04,1.008932569679477727e-04,1.980821645070257375e+00,1.980821645070257375e+00,5.310177394709573420e-06,5.310177394709573420e-06
3.960841218790653073e+01,3.960841218790653073e+01,1.062034343626573461e-04,1.062034343626573461e-04,1.980861752668076292e+00,1.980861752668076292e+00,5.310160837153804795e-06,5.310160837153804795e-06
4.158927394057460702e+01,4.158927394057460702e+01,1.115135951998111509e-04,1.115135951998111509e-04,1.980905677135602616e+00,1.980905677135602616e+00,5.310179200362070517e-06,5.310179200362070517e-06
4.357017961771020964e+01,4.357017961771020964e+01,1.168237744001732214e-04,1.168237744001732214e-04,1.980945785323172004e+00,1.980945785323172004e+00,5.310162642441494966e-06,5.310162642441494966e-06
4.555112540303338164e+01,4.555112540303338164e+01,1.221339370426147164e-04,1.221339370426147164e-04,1.980989710559292405e+00,1.980989710559292405e+00,5.310181004914061751e-06,5.310181004914061751e-06
4.753211511359267405e+01,4.753211511359267405e+01,1.274441180475287781e-04,1.274441180475287781e-04,1.981029819336662001e+00,1.981029819336662001e+00,5.310164447072700722e-06,5.310164447072700722e-06
4.951314493292933605e+01,4.951314493292933605e+01,1.327542824946014788e-04,1.327542824946014788e-04,1.981069929518106676e+00,1.981069929518106676e+00,5.310171169284246808e-06,5.310171169284246808e-06
5.149421486244744273e+01,5.149421486244744273e+01,1.380644536638857257e-04,1.380644536638857257e-04,1.981117670531716612e+00,1.981117670531716612e+00,5.310177891016927901e-06,5.310177891016927901e-06
5.347533253297915934e+01,5.347533253297915934e+01,1.433746315549026536e-04,1.433746315549026536e-04,1.981153965571898823e+00,1.981153965571898823e+00,5.310172972869034837e-06,5.310172972869034837e-06
5.545648649855105816e+01,5.545648649855105816e+01,1.486848045277716884e-04,1.486848045277716884e-04,1.981201706680032260e+00,1.981201706680032260e+00,5.310168054427702455e-06,5.310168054427702455e-06
5.743768820523109042e+01,5.743768820523109042e+01,1.539949725821993908e-04,1.539949725821993908e-04,1.981238002960957090e+00,1.981238002960957090e+00,5.310174775637228894e-06,5.310174775637228894e-06
5.941892620819204751e+01,5.941892620819204751e+01,1.593051473578366197e-04,1.593051473578366197e-04,1.981285744786006831e+00,1.981285744786006831e+00,5.310169857373515934e-06,5.310169857373515934e-06
6.140021195297805434e+01,6.140021195297805434e+01,1.646153172152101357e-04,1.646153172152101357e-04,1.981322040970745491e+00,1.981322040970745491e+00,5.310164938372464180e-06,5.310164938372464180e-06
6.338153399394879983e+01,6.338153399394879983e+01,1.699254821535825999e-04,1.699254821535825999e-04,1.981365968861503291e+00,1.981365968861503291e+00,5.310171659502789651e-06,5.310171659502789651e-06
6.536289996281030312e+01,6.536289996281030312e+01,1.752356538130853895e-04,1.752356538130853895e-04,1.981409897156751754e+00,1.981409897156751754e+00,5.310178379710269337e-06,5.310178379710269337e-06
6.734430985996705488e+01,6.734430985996705488e+01,1.805458321927956588e-04,1.805458321927956588e-04,1.981453825049811712e+00,1.981453825049811712e+00,5.310173460691870349e-06,5.310173460691870349e-06
6.932576368501686659e+01,6.932576368501686659e+01,1.858560056534875292e-04,1.858560056534875292e-04,1.981490122425242362e+00,1.981490122425242362e+00,5.310168541602076648e-06,5.310168541602076648e-06
7.130725380744210895e+01,7.130725380744210895e+01,1.911661741950896058e-04,1.911661741950896058e-04,1.981541682654409442e+00,1.981541682654409442e+00,5.310175261508446286e-06,5.310175261508446286e-06
