Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.340282135446564382e+00,8.010268881322589962e+00,9.765000484307927135e-06,2.603862527105056015e-05
5.340282135446564382e+00,8.010268881322589962e+00,9.765000484307927135e-06,2.603862527105056015e-05,5.340482743968093970e+00,8.010878682898914249e+00,9.764142624626967717e-06,2.603908808935188264e-05
1.068076487941465835e+01,1.602114756422150421e+01,1.952914310893489485e-05,5.207771336040244278e-05,5.340956121020726144e+00,8.011434130317990565e+00,9.764571140457139862e-06,2.603885823714341863e-05
1.602172100043538450e+01,2.403258169453949478e+01,2.929371424939203471e-05,7.811657159754586141e-05,5.341337950301006998e+00,8.012007711987827463e+00,9.764571833516729344e-06,2.603885537089253507e-05
2.136305895073639149e+01,3.204458940652732224e+01,3.905828608290876406e-05,1.041554269684383965e-04,5.341720741365101333e+00,8.012581306038839557e+00,9.764569615428470841e-06,2.603885830779686266e-05
2.670477969210149283e+01,4.005717071256616180e+01,4.882285569833723490e-05,1.301942852762352592e-04,5.342103540644384196e+00,8.013154912097455451e+00,9.764570306420263164e-06,2.603885540638359503e-05
3.204688323274587702e+01,4.807032562466361725e+01,5.858742600475749806e-05,1.562331406826188542e-04,5.342486348309812172e+00,8.013728530955717133e+00,9.764576816962287280e-06,2.603886412744154202e-05
3.738936958105568920e+01,5.608405415561933438e+01,6.835200282171978534e-05,1.822720048100603962e-04,5.342869163615311834e+00,8.014302160748208337e+00,9.764568775826076071e-06,2.603884955186045705e-05
4.273223874467100103e+01,6.409835631636754272e+01,7.811657159754586141e-05,2.083108543619208533e-04,5.343248172476471325e+00,8.014875804085079380e+00,9.764572374103920377e-06,2.603885823723920789e-05
4.807548691714747235e+01,7.211323212045262210e+01,8.788114397164978179e-05,2.343497125991600611e-04,5.343634819269610148e+00,8.015445643223955585e+00,9.764570151236427547e-06,2.603885526573953397e-05
5.341912173641708250e+01,8.012867776367657768e+01,9.764571412288620934e-05,2.603885678648995951e-04,5.344017659531324682e+00,8.016023125789331516e+00,9.764573747777149579e-06,2.603885227703983283e-05
5.876313939594840718e+01,8.814470088946590920e+01,1.074102878706633589e-04,2.864274201419394279e-04,5.344400507261987343e+00,8.016600623034307205e+00,9.764565703068952998e-06,2.603887254635443415e-05
6.410753990321039453e+01,9.616130151250021640e+01,1.171748535737323119e-04,3.124662926882938621e-04,5.344779549052134371e+00,8.017170496455136686e+00,9.764575117924770157e-06,2.603884624655133278e-05
6.945231945226252890e+01,1.041784720089553531e+02,1.269394286916570821e-04,3.385051389348451949e-04,5.345166228605862102e+00,8.017748018558194190e+00,9.764572891366531159e-06,2.603886647981648291e-05
7.479748568086839100e+01,1.121962200275135473e+02,1.367040015830236132e-04,3.645440054146616778e-04,5.345545285881058817e+00,8.018317915692875886e+00,9.764570663942502516e-06,2.603884014616892652e-05
8.014303096674944982e+01,1.202145379432064232e+02,1.464685722469661157e-04,3.905828455608306043e-04,5.345924351166246424e+00,8.018887830078639922e+00,9.764568435652738439e-06,2.603886034361203687e-05
8.548895531791569624e+01,1.282334257732850631e+02,1.562331406826188542e-04,4.166217059044426412e-04,5.346311056179487764e+00,8.019473022410437579e+00,9.764577846363474509e-06,2.603888052204518001e-05
9.083526637409518401e+01,1.362528987956955007e+02,1.659977185289823287e-04,4.426605864264878212e-04,5.346697767374180899e+00,8.020027689742448729e+00,9.764563976806306172e-06,2.603885413654007108e-05
9.618196414146936490e+01,1.442729264854379494e+02,1.757622825057886349e-04,4.686994405630278923e-04,5.347076858168605895e+00,8.020612899841864873e+00,9.764573385114396018e-06,2.603882773544180388e-05
1.015290409996379708e+02,1.522935393852798143e+02,1.855268558909030309e-04,4.947382682984696961e-04,5.347463586800401458e+00,8.021198137330657119e+00,9.764571153356486032e-06,2.603889440287558438e-05
1.068765045864383723e+02,1.603147375226104714e+02,1.952914270442595169e-04,5.207771627013452805e-04,5.347842692706549883e+00,8.021752831773625303e+00,9.764568920733003241e-06,2.603882142534087035e-05
1.122243472791449221e+02,1.683364903543840967e+02,2.050559959649925202e-04,5.468159841266861509e-04,5.348221806622490249e+00,8.022338094856877433e+00,9.764566686799912645e-06,2.603888805410175568e-05
1.175725690857674124e+02,1.763588284492409741e+02,2.148205626517924328e-04,5.728548721807879066e-04,5.348608562517014775e+00,8.022908087570442603e+00,9.764587730369929603e-06,2.603886158337271814e-05
1.229211776482844272e+02,1.843817365368114167e+02,2.245851503821623624e-04,5.988937337641606247e-04,5.348987689865353445e+00,8.023478091564413717e+00,9.764562216997698741e-06,2.603883509750084570e-05
1.282701653381497806e+02,1.924052146283758304e+02,2.343497125991600611e-04,6.249325688616614704e-04,5.349374462326267121e+00,8.024063384881230832e+00,9.764583257938064644e-06,2.603885513138110789e-05
1.336195398004760477e+02,2.004292780132570613e+02,2.441142958570981258e-04,6.509714239930425783e-04,5.349753605594315786e+00,8.024633422667960758e+00,9.764557743511420064e-06,2.603887514648569896e-05
1.389692934060703635e+02,2.084539114359250220e+02,2.538788536006095459e-04,6.770102991395282772e-04,5.350148026027540027e+00,8.025203462784787689e+00,9.764578782266197018e-06,2.603884860857158014e-05
1.443194414320979035e+02,2.164791148987098097e+02,2.636434323828757429e-04,7.030491477480998574e-04,5.350527188847053139e+00,8.025773524618983856e+00,9.764576543129478096e-06,2.603886858744365249e-05
1.496699686209449567e+02,2.245048884233287936e+02,2.734080089260052210e-04,7.290880163355435099e-04,5.350906356068946934e+00,8.026358858348288550e+00,9.764551026566331820e-06,2.603884201616689809e-05
1.550208749770139036e+02,2.325312472816770821e+02,2.831725599525715528e-04,7.551268583517104080e-04,5.351285538390612828e+00,8.026928945022262951e+00,9.764572062043077715e-06,2.603886195903391734e-05
1.603721605154045164e+02,2.405581762266993451e+02,2.929371320146146305e-04,7.811657203107443253e-04,5.351664729095404027e+00,8.027499032533626178e+00,9.764593096416593690e-06,2.603883535417801220e-05
1.657238252444999205e+02,2.485856752592329713e+02,3.027017251110312242e-04,8.072045556649223375e-04,5.352059183778720808e+00,8.028084426683449237e+00,9.764567577262637903e-06,2.603890178834520740e-05
1.710758844282786413e+02,2.566137596859164205e+02,3.124662926882938621e-04,8.332434574532675449e-04,5.352438386944527338e+00,8.028639242526139697e+00,9.764565333799084951e-06,2.603878209509434549e-05
1.764283228152231686e+02,2.646423989284425602e+02,3.222308580220929470e-04,8.592822395483618904e-04,5.352817598119855802e+00,8.029209414562956226e+00,9.764563089248294060e-06,2.603894154324260662e-05
