Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.300007766043016599e-01,1.979999419349806500e+00,-1.930954976920059430e-06,8.126117334081225794e-06
3.300007766043016599e-01,1.979999419349806500e+00,-1.930954976920059430e-06,8.126117334081225794e-06,3.300074295340272301e-01,1.980049719040022138e+00,-1.930987809457236380e-06,8.126225920979637032e-06
6.600082061383288901e-01,3.960049138389828638e+00,-3.861942786377295810e-06,1.625234325506086283e-05,3.300102081546605337e-01,1.980061394097470728e+00,-1.930971347212398754e-06,8.126171527039286195e-06
9.900184142929894238e-01,5.940110532487299366e+00,-5.792914133589694564e-06,2.437851478210014902e-05,3.300142384336545165e-01,1.980085943768615131e+00,-1.930971801685931841e-06,8.126169519391243971e-06
1.320032652726643940e+00,7.920196476255914497e+00,-7.723885935275626405e-06,3.250468430149139299e-05,3.300185070989458680e-01,1.980110016442927723e+00,-1.930971528618725245e-06,8.126173331696316291e-06
1.650051159825589808e+00,9.900306492698842220e+00,-9.654857463894351649e-06,4.063085763318770928e-05,3.300224777133460297e-01,1.980135519454330861e+00,-1.930970891496386918e-06,8.126171322756345534e-06
1.980073637538935838e+00,1.188044201215317308e+01,-1.158582835539073857e-05,4.875702895594405482e-05,3.300264482963104484e-01,1.980159114833925926e+00,-1.930970982235214909e-06,8.126169313550765574e-06
2.310100085835246286e+00,1.386060112698709901e+01,-1.351679933762595348e-05,5.688319826949482039e-05,3.300306572598539212e-01,1.980183663820840323e+00,-1.930972528048141221e-06,8.126173123934428357e-06
2.640130743095100208e+00,1.584078479080793933e+01,-1.544777186567409470e-05,6.500937139342924875e-05,3.300348662009073841e-01,1.980209166284732092e+00,-1.930970435820789565e-06,8.126171113659032231e-06
2.970165609296007592e+00,1.782099395709267142e+01,-1.737874230149488426e-05,7.313554250708828098e-05,3.300388366838817866e-01,1.980232761070304548e+00,-1.930972709277396321e-06,8.126169102674012231e-06
3.300204445979889378e+00,1.980122671816297597e+01,-1.930971501077228058e-05,8.126171160976229321e-05,3.300430455635847693e-01,1.980257309521004316e+00,-1.930970617139288057e-06,8.126172911580449554e-06
3.630247491543474148e+00,2.178148402768398029e+01,-2.124068562791156864e-05,8.938788452134274276e-05,3.300470159890123156e-01,1.980281857670036061e+00,-1.930971435165890188e-06,8.126170899747718981e-06
3.960294507532486463e+00,2.376176588535401635e+01,-2.317165706307745883e-05,9.751405542109046175e-05,3.300512248020819328e-01,1.980306405770903666e+00,-1.930970798317253618e-06,8.126174707267814091e-06
4.290345732334568396e+00,2.574207229112492001e+01,-2.510262786139471245e-05,1.056402301283582758e-04,3.300551951584349553e-01,1.980330953385742276e+00,-1.930973071652998936e-06,8.126166874128254469e-06
4.620400927493003351e+00,2.772240324451066229e+01,-2.703360093304771138e-05,1.137663970024865303e-04,3.300591655037647953e-01,1.980357408694864318e+00,-1.930970979360303771e-06,8.126170680800733873e-06
4.950460092996768147e+00,2.970276065320552661e+01,-2.896457191240801515e-05,1.218925676832872642e-04,3.300631358054113562e-01,1.980380048693834993e+00,-1.930971797587876327e-06,8.126174486843779706e-06
5.280523228802179503e+00,3.168314070189936160e+01,-3.089554370999589148e-05,1.300187421701310439e-04,3.300675829136974215e-01,1.980402688091110974e+00,-1.930969705267781341e-06,8.126166652288956778e-06
5.610590811715876924e+00,3.366354338999047258e+01,-3.282651341526367282e-05,1.381449088224200007e-04,3.300715531357445442e-01,1.980429143294244909e+00,-1.930973433918985324e-06,8.126182096914325980e-06
5.940662364851621469e+00,3.564397253328471749e+01,-3.475748684918265815e-05,1.462710909193343266e-04,3.300755233602155059e-01,1.980453689492875924e+00,-1.930971341582725560e-06,8.126162621732686093e-06
6.270737888211836975e+00,3.762442622277759341e+01,-3.668845819076538371e-05,1.543972535410670127e-04,3.300799703751167158e-01,1.980482052089790557e+00,-1.930969249227160222e-06,8.126178065099323678e-06
6.600817858586953690e+00,3.960490827486738397e+01,-3.861942743999254393e-05,1.625234316061663364e-04,3.300839405007742755e-01,1.980502783021009350e+00,-1.930972977987624678e-06,8.126170228594630906e-06
6.930901799087727966e+00,4.158541105788839332e+01,-4.055040041798016861e-05,1.706496018347609673e-04,3.300879106346226166e-01,1.980527329512931090e+00,-1.930970885504862096e-06,8.126174031239922655e-06
7.260989709722350582e+00,4.356593838740132441e+01,-4.248137130348503070e-05,1.787757758660008900e-04,3.300918807180623915e-01,1.980551875311370225e+00,-1.930971703692732524e-06,8.126166193854939034e-06
7.591081590440412974e+00,4.554649026271269463e+01,-4.441234300717776323e-05,1.869019420598558290e-04,3.300958507703084521e-01,1.980576421430313871e+00,-1.930972521878136393e-06,8.126169995430827971e-06
7.921177441210721426e+00,4.752706668414300850e+01,-4.634331552905589962e-05,1.950281120552866570e-04,3.301007744436521563e-01,1.980600966809724639e+00,-1.930970429470915597e-06,8.126162157165580605e-06
8.251278215654373582e+00,4.950766765095273314e+01,-4.827428595852681522e-05,2.031542742124522376e-04,3.301037908053103820e-01,1.980625513154841144e+00,-1.930971247640164853e-06,8.126177596567317951e-06
8.581382006459683964e+00,5.148829316410757428e+01,-5.020525720616698007e-05,2.112804518090195555e-04,3.301082376041239996e-01,1.980650058783446354e+00,-1.930969155205547623e-06,8.126181396255366960e-06
8.911490244063807964e+00,5.346894322289102064e+01,-5.213622636137252769e-05,2.194066332052749225e-04,3.301126843180703929e-01,1.980674602958139019e+00,-1.930972883743594781e-06,8.126161917680120063e-06
9.241602928381878357e+00,5.544961782584915966e+01,-5.406719924511612247e-05,2.275327951229550426e-04,3.301161774299821161e-01,1.980699148167666124e+00,-1.930970791403845241e-06,8.126165716266077563e-06
9.571719105811860473e+00,5.743031697401682578e+01,-5.599817003651996771e-05,2.356589608392211201e-04,3.301206240777698753e-01,1.980723694596321138e+00,-1.930974520059236955e-06,8.126192791700582660e-06
9.901839729889630348e+00,5.941104066861314692e+01,-5.792914455657920467e-05,2.437851536309217028e-04,3.301250707482825675e-01,1.980748236713715471e+00,-1.930972427703326027e-06,8.126150034738522125e-06
1.023196480063791292e+01,6.139178890532686239e+01,-5.986011698428253070e-05,2.519113036656602249e-04,3.301285637723374577e-01,1.980772782815414246e+00,-1.930970335106037814e-06,8.126177108692684680e-06
1.056209336441025037e+01,6.337256168814227664e+01,-6.179108731938856851e-05,2.600374807743529096e-04,3.301330103843813646e-01,1.980797327371028871e+00,-1.930968242711475079e-06,8.126180905205918677e-06
1.089222637479463174e+01,6.535335901551330551e+01,-6.372205556210004359e-05,2.681636616795588283e-04,3.301374569000259385e-01,1.980821870196294299e+00,-1.930971971246005356e-06,8.126161423924747104e-06
1.122236383169465768e+01,6.733418088570959981e+01,-6.565302753334604894e-05,2.762898231034835754e-04,3.301409498362168904e-01,1.980846415945748618e+00,-1.930969878835288008e-06,8.126188495868012784e-06
1.155250478153087457e+01,6.931502730165534842e+01,-6.758399741218133695e-05,2.844160115993515882e-04,3.301453962857028301e-01,1.980870958351857780e+00,-1.930973607487156064e-06,8.126169013928893122e-06
1.188265017781657740e+01,7.129589826000720620e+01,-6.951497101966849302e-05,2.925421806132804813e-04,3.301488891632686773e-01,1.980895502161374111e+00,-1.930971514949248249e-06,8.126172808081873200e-06
1.221279906697984607e+01,7.327679376216858032e+01,-7.144594253461774127e-05,3.006683534213623545e-04,3.301533356196220126e-01,1.980920044056233564e+00,-1.930969422392014531e-06,8.126153325863137798e-06
1.254295240259946809e+01,7.525771380622481388e+01,-7.337691195700975580e-05,3.087945067472254923e-04,3.301577819699588190e-01,1.980944589243762266e+00,-1.930973151042134311e-06,8.126180394467711308e-06
