Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.201596831632998885e+01,1.201596831632998885e+01,3.222360569361764997e-05,3.222360569361764997e-05
1.201596831632998885e+01,1.201596831632998885e+01,3.222360569361764997e-05,3.222360569361764997e-05,1.201712987880035399e+01,1.201712987880035399e+01,3.222256736631231547e-05,3.222256736631231547e-05
2.403309819513034284e+01,2.403309819513034284e+01,6.444617305992996544e-05,6.444617305992996544e-05,1.201887138743219197e+01,1.201887138743219197e+01,3.222308601033853337e-05,3.222308601033853337e-05
3.605196958256253481e+01,3.605196958256253481e+01,9.666925907026849881e-05,9.666925907026849881e-05,1.202042222403403571e+01,1.202042222403403571e+01,3.222308949945666679e-05,3.222308949945666679e-05
4.807239180659657052e+01,4.807239180659657052e+01,1.288923485697251656e-04,1.288923485697251656e-04,1.202196741213592901e+01,1.202196741213592901e+01,3.222308131485787544e-05,3.222308131485787544e-05
6.009435921873249953e+01,6.009435921873249953e+01,1.611154298845830410e-04,1.611154298845830410e-04,1.202352412115470059e+01,1.202352412115470059e+01,3.222307891758983598e-05,3.222307891758983598e-05
7.211788333988720012e+01,7.211788333988720012e+01,1.933385088021728770e-04,1.933385088021728770e-04,1.202506182985045768e+01,1.202506182985045768e+01,3.222309976455502200e-05,3.222309976455502200e-05
8.414294516973765781e+01,8.414294516973765781e+01,2.255616085667278990e-04,2.255616085667278990e-04,1.202662250265525756e+01,1.202662250265525756e+01,3.222307402218864002e-05,3.222307402218864002e-05
9.616956767239291537e+01,9.616956767239291537e+01,2.577846825889165390e-04,2.577846825889165390e-04,1.202816799105609391e+01,1.202816799105609391e+01,3.222308316323509387e-05,3.222308316323509387e-05
1.081977356634490093e+02,1.081977356634490093e+02,2.900077657521516329e-04,2.900077657521516329e-04,1.202971355427274602e+01,1.202971355427274602e+01,3.222309226994131415e-05,3.222309226994131415e-05
1.202274492177217553e+02,1.202274492177217553e+02,3.222308580220929470e-04,3.222308580220929470e-04,1.203126682132523229e+01,1.203126682132523229e+01,3.222307806740898903e-05,3.222307806740898903e-05
1.322587160390469876e+02,1.322587160390469876e+02,3.544539360895019361e-04,3.544539360895019361e-04,1.203282016644561736e+01,1.203282016644561736e+01,3.222308710716686357e-05,3.222308710716686357e-05
1.442915362054926049e+02,1.442915362054926049e+02,3.866770231966687997e-04,3.866770231966687997e-04,1.203435832193360966e+01,1.203435832193360966e+01,3.222309611215047132e-05,3.222309611215047132e-05
1.563258945274262146e+02,1.563258945274262146e+02,4.189001193088192710e-04,4.189001193088192710e-04,1.203592707500587267e+01,1.203592707500587267e+01,3.222305853794711974e-05,3.222305853794711974e-05
1.683618216024320873e+02,1.683618216024320873e+02,4.511231778467663907e-04,4.511231778467663907e-04,1.203746538367997232e+01,1.203746538367997232e+01,3.222309074940365786e-05,3.222309074940365786e-05
1.803992869861120596e+02,1.803992869861120596e+02,4.833462685961700486e-04,4.833462685961700486e-04,1.203901903391800943e+01,1.203901903391800943e+01,3.222312292429000248e-05,3.222312292429000248e-05
1.924383060200300690e+02,1.924383060200300690e+02,5.155693915204600511e-04,5.155693915204600511e-04,1.204055747436694901e+01,1.204055747436694901e+01,3.222306198100025401e-05,3.222306198100025401e-05
2.044788634943970180e+02,2.044788634943970180e+02,5.477924535014603051e-04,5.477924535014603051e-04,1.204212654178408570e+01,1.204212654178408570e+01,3.222309408875518536e-05,3.222309408875518536e-05
2.165209900361811037e+02,2.165209900361811037e+02,5.800155475902154904e-04,5.800155475902154904e-04,1.204366514016206224e+01,1.204366514016206224e+01,3.222307962236626959e-05,3.222307962236626959e-05
2.285646551763431660e+02,2.285646551763431660e+02,6.122386272125817600e-04,6.122386272125817600e-04,1.204521908038566380e+01,1.204521908038566380e+01,3.222306512369761938e-05,3.222306512369761938e-05
2.406098742567288298e+02,2.406098742567288298e+02,6.444616923362793794e-04,6.444616923362793794e-04,1.204677310705514515e+01,1.204677310705514515e+01,3.222309712778016321e-05,3.222309712778016321e-05
2.526566473637839749e+02,2.526566473637839749e+02,6.766847894640595426e-04,6.766847894640595426e-04,1.204832719778903538e+01,1.204832719778903538e+01,3.222308256200579531e-05,3.222308256200579531e-05
2.647049745615730103e+02,2.647049745615730103e+02,7.089078720260653379e-04,7.089078720260653379e-04,1.204988137608438592e+01,1.204988137608438592e+01,3.222311449576828728e-05,3.222311449576828728e-05
2.767548559376573962e+02,2.767548559376573962e+02,7.411309865218336252e-04,7.411309865218336252e-04,1.205142033330491813e+01,1.205142033330491813e+01,3.222305333303715751e-05,3.222305333303715751e-05
2.888062762709623144e+02,2.888062762709623144e+02,7.733540398548707827e-04,7.733540398548707827e-04,1.205295940402373844e+01,1.205295940402373844e+01,3.222313172852224808e-05,3.222313172852224808e-05
3.008592356749860528e+02,3.008592356749860528e+02,8.055771715833930308e-04,8.055771715833930308e-04,1.205452905081807558e+01,1.205452905081807558e+01,3.222307050126623548e-05,3.222307050126623548e-05
3.129137647258041284e+02,3.129137647258041284e+02,8.378002420846592663e-04,8.378002420846592663e-04,1.205609878720241568e+01,1.205609878720241568e+01,3.222305577272623327e-05,3.222305577272623327e-05
3.249698635130065441e+02,3.249698635130065441e+02,8.700232978573854995e-04,8.700232978573854995e-04,1.205760754085326880e+01,1.205760754085326880e+01,3.222313405988825111e-05,3.222313405988825111e-05
