Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.474281042952486739e-06,1.979993143410753165e+00,-3.379194347490458029e-06,8.689304460093837327e-06
-5.474281042952486739e-06,1.979993143410753165e+00,-3.379194347490458029e-06,8.689304460093837327e-06,5.474281924596830756e-06,1.980049011214085164e+00,-3.379205766594505885e-06,8.689438500586758865e-06
8.816443443488107582e-13,3.960042154624838329e+00,-6.758400114084963914e-06,1.737874296068059619e-05,4.382586841095881553e-13,1.980052664154528852e+00,-3.379200086946565537e-06,8.689372453532961705e-06
1.319903028458398914e-12,5.940094818779367181e+00,-1.013760020103152945e-05,2.606811541421355790e-05,4.405649277062056960e-13,1.980073244721237025e+00,-3.379199136594424025e-06,8.689371161050381595e-06
1.760467956164604610e-12,7.920168063500604205e+00,-1.351679933762595348e-05,3.475748657526393949e-05,4.399124697806307955e-13,1.980094778649942100e+00,-3.379201096803921865e-06,8.689371323162523204e-06
2.200380425945235405e-12,9.900262842150546305e+00,-1.689600043442987534e-05,4.344685789842646270e-05,4.397874178998170733e-13,1.980115358485379673e+00,-3.379199418831107865e-06,8.689368574649490367e-06
2.640167843845052478e-12,1.188037820063592598e+01,-2.027519985326098321e-05,5.213622647307595306e-05,4.413386993113497969e-13,1.980137368623152483e+00,-3.379200651321203903e-06,8.689371645431183530e-06
3.081506543156402275e-12,1.386051556925907846e+01,-2.365440050458218711e-05,6.082559811850713659e-05,4.399146693827757604e-13,1.980157470928661567e+00,-3.379200428465524273e-06,8.689371805784488329e-06
3.521421212539178036e-12,1.584067304018774003e+01,-2.703360093304771138e-05,6.951496992429162492e-05,4.421321179992593443e-13,1.980178526611096501e+00,-3.379200205568993939e-06,8.689371965477514005e-06
3.963553330538437380e-12,1.782085156679883653e+01,-3.041280113861670532e-05,7.820434188976913893e-05,4.337582442597294109e-13,1.980200535703595222e+00,-3.379199982742652142e-06,8.689372124066245887e-06
4.397311574798166791e-12,1.980105210250243175e+01,-3.379200112135935746e-05,8.689371401383538481e-05,4.442577187070799720e-13,1.980219683177431023e+00,-3.379199759764423786e-06,8.689372282438814960e-06
4.841569293505246763e-12,2.178127178567986277e+01,-3.717120088112378125e-05,9.558308629627419977e-05,4.395473878200904088e-13,1.980242645349449049e+00,-3.379199536856387356e-06,8.689372439707124121e-06
5.281116681325337171e-12,2.376151443102931182e+01,-4.055040041798016861e-05,1.042724587359813239e-04,4.391671745385596588e-13,1.980261791946087868e+00,-3.379199313796467754e-06,8.689366776739484272e-06
