Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.002549744606456184e+00,4.005045375039532729e+00,1.953023368573559297e-06,1.415851456257215142e-05
2.002549744606456184e+00,4.005045375039532729e+00,1.953023368573559297e-06,1.415851456257215142e-05,2.002579500365552878e+00,4.005213147216798220e+00,1.952805278077125365e-06,1.415874191598005118e-05
4.005129244972009062e+00,8.010258522256330949e+00,3.905828646650684662e-06,2.831725647855220260e-05,2.002661232462524588e+00,4.005321790024298778e+00,1.952914241540456850e-06,1.415862875662858567e-05
6.007790477434533649e+00,1.201558031228062973e+01,5.858742888191141513e-06,4.247588523518078826e-05,2.002725321663139546e+00,4.005451415111124902e+00,1.952914429330481029e-06,1.415862909757833403e-05
8.010515799097673195e+00,1.602103172739175463e+01,7.811657317521622542e-06,5.663451433275912229e-05,2.002790364870881135e+00,4.005581994632468223e+00,1.952913889478889831e-06,1.415862943611939173e-05
1.001330616396855433e+01,2.002661372202422285e+01,9.764571207000512373e-06,7.079314376887851402e-05,2.002855408423732442e+00,4.005708759795677310e+00,1.952914441181501106e-06,1.415862686127231790e-05
1.201616157239228677e+01,2.403232248181990016e+01,1.171748564818201348e-05,8.495177063015083192e-05,2.002919498627784733e+00,4.005839340570354068e+00,1.952914992873434685e-06,1.415862428391837890e-05
1.401908107102007151e+01,2.803816182239025423e+01,1.367040064105544816e-05,9.911039491406921083e-05,2.002983589141489773e+00,4.005968015037854713e+00,1.952914089297079169e-06,1.415863916411167498e-05
1.602206466016156128e+01,3.204412983742810894e+01,1.562331473035252733e-05,1.132690340781808858e-04,2.003049587361577011e+00,4.006098596874920759e+00,1.952913185940613407e-06,1.415862494049058761e-05
1.802511424752313829e+01,3.605022843430302970e+01,1.757622791629314074e-05,1.274276590186714734e-04,2.003112724896524810e+00,4.006223456880256606e+00,1.952915192641754112e-06,1.415862235478579823e-05
2.002822697241966310e+01,4.005645189118328631e+01,1.952914310893489485e-05,1.415862813734572716e-04,2.003177770093088839e+00,4.006355948436080894e+00,1.952914289047568552e-06,1.415863140589418531e-05
2.203140474251275194e+01,4.406280783961936720e+01,2.148205739798246340e-05,1.557449127793514570e-04,2.003240908226125327e+00,4.006484625005853673e+00,1.952913385451228142e-06,1.415862881440303604e-05
2.403464565073887726e+01,4.806929246462522087e+01,2.343497078343369155e-05,1.699035415937544930e-04,2.003307861547686031e+00,4.006613302192484127e+00,1.952915392117488029e-06,1.415862622018368173e-05
2.603795351228656330e+01,5.207590576681770500e+01,2.538788617555117958e-05,1.840621678139381747e-04,2.003371000344564834e+00,4.006741979995908309e+00,1.952914488727511950e-06,1.415862362301424041e-05
2.804132451263112813e+01,5.608264774681361331e+01,2.734080066427869152e-05,1.982207914369524151e-04,2.003436046864571551e+00,4.006870659814573798e+00,1.952913585113343189e-06,1.415864430154769736e-05
3.004476055949569968e+01,6.008951840662818711e+01,2.929371424939203471e-05,2.123794357385001125e-04,2.003501093807663835e+00,4.006999338292061452e+00,1.952915591966760089e-06,1.415863005932365228e-05
3.204826165330336352e+01,6.409651774492024856e+01,3.124662984135879480e-05,2.265380657978237648e-04,2.003562326075936539e+00,4.007128017246415652e+00,1.952911777872859216e-06,1.415861581508827665e-05
3.405182397937930006e+01,6.810364576216666421e+01,3.319954161923165402e-05,2.406966816129120414e-04,2.003631188611706193e+00,4.007264329694578464e+00,1.952916694946931343e-06,1.415862484561780177e-05
3.605545516799100625e+01,7.211091009186124268e+01,3.515245831417858536e-05,2.548553064585298432e-04,2.003692421524689848e+00,4.007385380329353097e+00,1.952912881070761983e-06,1.415863387314739369e-05
3.805914758951569610e+01,7.611829547219059577e+01,3.710537119524934735e-05,2.690139403316772369e-04,2.003761284653371888e+00,4.007514061086851598e+00,1.952914887659416713e-06,1.415861962089431589e-05
4.006290887416906799e+01,8.012580953327744737e+01,3.905828608290876406e-05,2.831725599525715528e-04,2.003822518321840107e+00,4.007650375941707921e+00,1.952913984231632470e-06,1.415862864241786145e-05
4.206673139249090809e+01,8.413345990921915529e+01,4.101120006714039653e-05,2.973311885949894142e-04,2.003887567158940897e+00,4.007771428334891084e+00,1.952913080579648771e-06,1.415863766071980868e-05
4.407061895964984899e+01,8.814123133755404638e+01,4.296411314772004530e-05,3.114898262557092229e-04,2.003952616459919511e+00,4.007907742774136750e+00,1.952915087133426071e-06,1.415862340045014002e-05
4.607457157610976850e+01,9.214913908032818313e+01,4.491702823485347137e-05,3.256484496561593629e-04,2.004013851092238951e+00,4.008028796277244510e+00,1.952914183465768875e-06,1.415863241319072641e-05
4.807858542720200745e+01,9.615716787660542764e+01,4.686994241831924025e-05,3.398070820693500894e-04,2.004082715799029302e+00,4.008165114402530094e+00,1.952913280017994655e-06,1.415864142248815776e-05
5.008266814300103675e+01,1.001653329910079577e+02,4.882285569833723490e-05,3.539657234918382471e-04,2.004147766270172326e+00,4.008286166778034953e+00,1.952918196727754523e-06,1.415862715420298243e-05
5.208681590927120908e+01,1.041736191577859927e+02,5.077577389506498942e-05,3.681243506460412295e-04,2.004209001578075799e+00,4.008422483928143265e+00,1.952911472660542208e-06,1.415861288346360707e-05
5.409102491084928488e+01,1.081820416417141359e+02,5.272868536772553163e-05,3.822829635295048366e-04,2.004274052554016805e+00,4.008551172069644508e+00,1.952913479385799634e-06,1.415862188463868363e-05
5.609529896340330168e+01,1.121905928137837805e+02,5.468159884711133126e-05,3.964415854141435202e-04,2.004339103877242678e+00,4.008679860967106379e+00,1.952915485647791025e-06,1.415863088259313764e-05
5.809963806728054436e+01,1.161992726747508868e+02,5.663451433275912229e-05,4.106002162967366579e-04,2.004404155198017179e+00,4.008800920781624200e+00,1.952911671998375774e-06,1.415866315014884403e-05
6.010404222247856154e+01,1.202080735955325110e+02,5.858742600475749806e-05,4.247588794468855019e-04,2.004469207554002708e+00,4.008937235235450203e+00,1.952919499013656794e-06,1.415860232241732044e-05
6.210851143003256425e+01,1.242170108307679612e+02,6.054034550377115486e-05,4.389174817693028223e-04,2.004534259172871202e+00,4.009073561861598023e+00,1.952909864590975488e-06,1.415863458441345493e-05
6.411304568920543545e+01,1.282260843926295593e+02,6.249325536836213035e-05,4.530761163537162773e-04,2.004595497280377003e+00,4.009194617776699943e+00,1.952917691567835094e-06,1.415862029786885135e-05
