Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.600042798297033331e-01,9.900040897087057923e-01,1.206863725446338567e-06,3.218282205023716388e-06
6.600042798297033331e-01,9.900040897087057923e-01,1.206863725446338567e-06,3.218282205023716388e-06,6.600074226054438720e-01,9.900134421787772920e-01,1.206850627379552693e-06,3.218289310080209930e-06
1.320011702435147205e+00,1.980017531887483084e+00,2.413714352825891260e-06,6.436571515103926318e-06,6.600145589252373046e-01,9.900219005890855684e-01,1.206857083645765745e-06,3.218285864687231426e-06
1.980026261360384510e+00,2.970039432476568653e+00,3.620571436471657004e-06,9.654857379791157744e-06,6.600204435577334827e-01,9.900306570464487699e-01,1.206857264048428920e-06,3.218284966113018817e-06
2.640046704918117992e+00,3.960070089523017423e+00,4.827428700520085924e-06,1.287314234590417656e-05,6.600263282043230539e-01,9.900394135313623778e-01,1.206856898888378709e-06,3.218285522326986862e-06
3.300073033122441046e+00,4.950109503054379800e+00,6.034285599408464633e-06,1.609142786823116342e-05,6.600322128686113565e-01,9.900481700452736789e-01,1.206857261584836558e-06,3.218286806572457856e-06
3.960105245991052403e+00,5.940157673099653479e+00,7.241142860993301191e-06,1.930971467480362128e-05,6.600380975474720024e-01,9.900569265658445417e-01,1.206857260128149105e-06,3.218285180055042093e-06
4.620143343538524405e+00,6.930214599665498021e+00,8.448000121121450296e-06,2.252799985485866337e-05,6.600437438209860730e-01,9.900656831161294136e-01,1.206857258669707448e-06,3.218285008762869211e-06
5.280187087359510478e+00,7.920280282781627434e+00,9.654857379791157744e-06,2.574628486362153258e-05,6.600496285303432131e-01,9.900749165528601736e-01,1.206857257431557037e-06,3.218286292677206226e-06
5.940236715889853691e+00,8.910355199334487608e+00,1.086171463722271478e-05,2.896457115629873881e-05,6.600555132504322131e-01,9.900831962872072012e-01,1.206856528560263273e-06,3.218284666300841779e-06
6.600292229140285905e+00,9.900438395621694809e+00,1.206857116578297805e-05,3.218285582259958059e-05,6.600613980004652603e-01,9.900914760668282355e-01,1.206857982581384443e-06,3.218285949920414717e-06
7.260353627140751165e+00,1.089052987168852304e+01,1.327542914836436250e-05,3.540114177251999530e-05,6.600668059017955613e-01,9.901007095798259883e-01,1.206856525854909496e-06,3.218287233716306034e-06
