Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.900121114733424488e-01,1.980011017522943728e+00,9.655123791229381720e-07,6.999743585564004622e-06
9.900121114733424488e-01,1.980011017522943728e+00,9.655123791229381720e-07,6.999743585564004622e-06,9.900193875322100823e-01,1.980052088315974679e+00,9.654590600272031470e-07,6.999799361997208498e-06
1.980031499005552531e+00,3.960063105838918407e+00,1.930971439150141319e-06,1.399954294756121312e-05,9.900393595120744461e-01,1.980078853804202677e+00,9.654857763869402959e-07,6.999770737313764222e-06
2.970070858517626977e+00,5.940141959643121083e+00,2.896457215537081615e-06,2.099931368487497734e-05,9.900553379903658247e-01,1.980110387837964225e+00,9.654855718624160973e-07,6.999771215904037171e-06
3.960126196507992802e+00,7.920252347481085309e+00,3.861942787399497712e-06,2.799908490077901451e-05,9.900710780917671983e-01,1.980142398808517612e+00,9.654859131205882121e-07,6.999771694363336803e-06
4.950197274599760000e+00,9.900394746289602921e+00,4.827428700520085924e-06,3.499885659514235132e-05,9.900865798110300986e-01,1.980172979300476754e+00,9.654857083723520242e-07,6.999772172247582379e-06
5.940283854410790099e+00,1.188056772559007968e+01,5.792914408892437948e-06,4.199862876738993370e-05,9.901023199917622364e-01,1.980205467257102114e+00,9.654858677744989628e-07,6.999769739804839600e-06
6.930386174402552335e+00,1.386077319284718179e+01,6.758400276666936911e-06,4.899839850719477330e-05,9.901185370509768546e-01,1.980236047936156041e+00,9.654856630249464858e-07,6.999773127199506665e-06
7.920504711453529190e+00,1.584100924078333783e+01,7.723885939691883397e-06,5.599817163439427996e-05,9.901342773097185912e-01,1.980267582326087350e+00,9.654854584971269056e-07,6.999770693869486709e-06
8.910638988763247781e+00,1.782127682310942518e+01,8.689371398189010303e-06,6.299794232826376667e-05,9.901495407733467147e-01,1.980301024379041763e+00,9.654859816021474416e-07,6.999774080739481238e-06
9.900788529536594496e+00,1.980157784748846694e+01,9.654857379791157744e-06,6.999771640900324791e-05,9.901657579537239684e-01,1.980330651454522695e+00,9.654857770723085348e-07,6.999771646744255816e-06
1.089095428749031846e+01,2.178190849894298964e+01,1.062034315686346628e-05,7.699748805574750372e-05,9.901810214895565565e-01,1.980362186064422048e+00,9.654855723201217853e-07,6.999769212457176721e-06
1.188113530897987502e+01,2.376227068500741169e+01,1.158582872918358806e-05,8.399725726820468045e-05,9.901972387591069236e-01,1.980395628411983466e+00,9.654860954207072568e-07,6.999772598247915750e-06
1.287133254773898194e+01,2.574266631341939515e+01,1.255131482460429532e-05,9.099702986645259620e-05,9.902134560514763706e-01,1.980425255506023774e+00,9.654851632582061108e-07,6.999764342966745723e-06
1.386154600379045831e+01,2.772309156892541893e+01,1.351679998786250143e-05,9.799679420941934192e-05,9.902287197159918009e-01,1.980456790658568167e+00,9.654856863567705616e-07,6.999773548380507169e-06
1.485177472350645012e+01,2.970354835958398709e+01,1.448228567421927199e-05,1.049965677577998491e-04,9.902439834207328317e-01,1.980488325577102415e+00,9.654862092308797518e-07,6.999771112763125561e-06
1.584201870692718295e+01,3.168403668516108951e+01,1.544777188345015175e-05,1.119963388705629746e-04,9.902602008311784942e-01,1.980521768528689108e+00,9.654852770681583772e-07,6.999780317045305200e-06
1.683227890775836144e+01,3.366455845368977862e+01,1.641325716051831012e-05,1.189961191876082798e-04,9.902754646153297813e-01,1.980553303236412432e+00,9.654858001622860695e-07,6.999766240571445508e-06
1.782255437237369122e+01,3.564511175692619105e+01,1.737874296068059619e-05,1.259958854281797254e-04,9.902926358233337112e-01,1.980581023611819091e+00,9.654863230319635833e-07,6.999775444107057083e-06
