Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.005244923401813040e+00,1.201519790589179593e+01,-2.928509015684537495e-06,4.589196519796554327e-05
4.005244923401813040e+00,1.201519790589179593e+01,-2.928509015684537495e-06,4.589196519796554327e-05,4.005443655540153358e+00,1.201686726493995749e+01,-2.930233636574784655e-06,4.589500430719617435e-05
8.010688578941966398e+00,2.403206517083175342e+01,-5.858742652259322150e-06,9.178696950516171762e-05,4.005859831918650471e+00,1.201757902630511055e+01,-2.929371464855738853e-06,4.589348295885424002e-05
1.201654841086061687e+01,3.604964419713686397e+01,-8.788114117115061004e-06,1.376804524640159576e-04,4.006205429910201232e+00,1.201861506121533552e+01,-2.929371314979838589e-06,4.589348939393694490e-05
1.602275384077081810e+01,4.806825925835219948e+01,-1.171748543209489959e-05,1.835739418579529025e-04,4.006549117324837539e+00,1.201964536345197843e+01,-2.929371892506265200e-06,4.589348991213717372e-05
2.002930295809565564e+01,6.008790462180417791e+01,-1.464685732460116479e-05,2.294674317700900763e-04,4.006891847883274238e+00,1.202067565572135521e+01,-2.929371014817733606e-06,4.589349033361130861e-05
2.403619480597892988e+01,7.210858027752553312e+01,-1.757622833941889840e-05,2.753609221037013849e-04,4.007238389791787370e+00,1.202171738480826946e+01,-2.929372319950598316e-06,4.589347902053529009e-05
2.804343319577071725e+01,8.413029766233380258e+01,-2.050560065936949671e-05,3.212544011242366750e-04,4.007581113918199378e+00,1.202273621072511389e+01,-2.929370714662958845e-06,4.589349088674648299e-05
3.205101430968891663e+01,9.615303387305891647e+01,-2.343497137403245556e-05,3.671478920109831580e-04,4.007925742038999317e+00,1.202377792062516448e+01,-2.929372019751435641e-06,4.589347938157493879e-05
3.605894005172791594e+01,1.081768117936840810e+02,-2.636434339378389120e-05,4.130413713925580967e-04,4.008272274318422035e+00,1.202480435869999553e+01,-2.929370414291326710e-06,4.589349105335886660e-05
