Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.335012736365204900e+00,8.009989829434651654e+00,-7.811388008865668509e-06,3.287316749496400632e-05
1.335012736365204900e+00,8.009989829434651654e+00,-7.811388008865668509e-06,3.287316749496400632e-05,1.335121099010945001e+00,8.010814034017478491e+00,-7.811926337334804853e-06,3.287494469351026486e-05
2.670133835376149900e+00,1.602080386345213014e+01,-1.562331434620047336e-05,6.574811218847427118e-05,1.335167233916102258e+00,8.011002083228383697e+00,-7.811657027831982197e-06,3.287406185366935981e-05
4.005301069292252159e+00,2.403180594668051384e+01,-2.343497137403245556e-05,9.862217404214363098e-05,1.335234108660457331e+00,8.011404710931699924e+00,-7.811656930384873492e-06,3.287405788538863192e-05
5.340535177952709489e+00,3.204321065761221377e+01,-3.124662830441732905e-05,1.314962319275322629e-04,1.335301458157886145e+00,8.011807326078240976e+00,-7.811658287573930133e-06,3.287404806225324412e-05
6.675836636110595634e+00,4.005501798369045474e+01,-3.905828659199125918e-05,1.643702799897855070e-04,1.335368328802733373e+00,8.012208022713359412e+00,-7.811655278716552473e-06,3.287407312218103696e-05
8.011204964913329007e+00,4.806722600640381415e+01,-4.686994187070781166e-05,1.972443531119665440e-04,1.335434720510807693e+00,8.012608704270640203e+00,-7.811661000805323436e-06,3.287403994962228865e-05
9.346639685424136701e+00,5.607983471067445436e+01,-5.468160287151313509e-05,2.301183930615888326e-04,1.335501587113814281e+00,8.013013191297268634e+00,-7.811652169726849692e-06,3.287405329909296034e-05
1.068214127253795098e+01,6.409284790197172299e+01,-6.249325504123998478e-05,2.629924463606817930e-04,1.335569405093460560e+00,8.013410034951334637e+00,-7.811660801557363453e-06,3.287406661149985549e-05
1.201771067763141154e+01,7.210625793692305763e+01,-7.030491584279734824e-05,2.958665129721816485e-04,1.335635313915872757e+00,8.013814496169430868e+00,-7.811657790738460775e-06,3.287405661179013637e-05
1.335334599154728430e+01,8.012007243309248850e+01,-7.811657363353580901e-05,3.287405695839717848e-04,1.335703127901309628e+00,8.014218947155939077e+00,-7.811654779150262445e-06,3.287406985183244541e-05
1.468904911944859393e+01,8.813429138024842757e+01,-8.592822841268607146e-05,3.616146394358042302e-04,1.335769986142118171e+00,8.014615749540169531e+00,-7.811657588570818881e-06,3.287403650776947461e-05
1.602481910559071210e+01,9.614890712978859710e+01,-9.373988600125689034e-05,3.944886759435737049e-04,1.335836842416615156e+00,8.015012543175075166e+00,-7.811654576090064665e-06,3.287404967743546170e-05
1.736065594800732725e+01,1.041639196729636723e+02,-1.015515405773469550e-04,4.273627256210091666e-04,1.335903696429355136e+00,8.015424592752154354e+00,-7.811663205800793773e-06,3.287408608271724566e-05
1.869655964443668239e+01,1.121793442657158266e+02,-1.093632037831477488e-04,4.602368117037264122e-04,1.335970548701258309e+00,8.015821354416402755e+00,-7.811654371047999524e-06,3.287402936240607209e-05
2.003253019313794070e+01,1.201951656201322294e+02,-1.171748581541957483e-04,4.931108410661324843e-04,1.336037398703634693e+00,8.016218113850953841e+00,-7.811657178532157328e-06,3.287406569558038848e-05
2.136856759184157539e+01,1.282113837339831832e+02,-1.249865153327279056e-04,5.259849067617128728e-04,1.336104246638623039e+00,8.016622488683509573e+00,-7.811659985605402508e-06,3.287405544957864179e-05
2.270467183848019843e+01,1.362280062226666928e+02,-1.327981753183333081e-04,5.588589622112915146e-04,1.336171092786180736e+00,8.017026851226148665e+00,-7.811651149165196656e-06,3.287404516884014170e-05
2.404084293126637917e+01,1.442450330738928415e+02,-1.406098264674985048e-04,5.917330073801316563e-04,1.336237936617536093e+00,8.017431208559116840e+00,-7.811653955123678715e-06,3.287408139081976748e-05
2.537708086788391526e+01,1.522624642824519583e+02,-1.484214804226221835e-04,6.246070887709514238e-04,1.336304778381510516e+00,8.017820278441917026e+00,-7.811656760893346966e-06,3.287407103822381684e-05
2.671338564626542578e+01,1.602802845608938753e+02,-1.562331371835155305e-04,6.574811598091752406e-04,1.336373525113849325e+00,8.018224603849489540e+00,-7.811659566029976673e-06,3.287406065090173798e-05
2.804975917137927510e+01,1.682985091647433649e+02,-1.640447967495455071e-04,6.903552204600769786e-04,1.336438455692427141e+00,8.018628916962683206e+00,-7.811662370866688954e-06,3.287405022930022219e-05
2.938619762707170224e+01,1.763171380817060481e+02,-1.718564591204121961e-04,7.232292706893772008e-04,1.336507198618004821e+00,8.019033217780332734e+00,-7.811653531735113839e-06,3.287403977297951706e-05
3.072270482568970706e+01,1.843361712994863808e+02,-1.796681126521473099e-04,7.561033104623567178e-04,1.336572125122767574e+00,8.019437515244447923e+00,-7.811656335567990434e-06,3.287407581174556399e-05
3.205927695081247464e+01,1.923556088147308287e+02,-1.874797689877153004e-04,7.889773862741022818e-04,1.336638956581005289e+00,8.019826520882702425e+00,-7.811659138989900195e-06,3.287406528360264490e-05
3.339591590739347993e+01,2.003754353356135312e+02,-1.952914281267052006e-04,8.218514515577049267e-04,1.336709600298874534e+00,8.020246046691852371e+00,-7.811650298059552361e-06,3.287400819445066274e-05
3.473262550769235446e+01,2.083956813823053835e+02,-2.031030784247647529e-04,8.547254597521555895e-04,1.336772613281148381e+00,8.020635036043330501e+00,-7.811664744509800445e-06,3.287404412516631378e-05
3.606939812097350284e+01,2.164163164183487140e+02,-2.109147431692745534e-04,8.875995038773219032e-04,1.336843252835834051e+00,8.021024012705481709e+00,-7.811655902575481399e-06,3.287408001681349848e-05
3.740624137380933689e+01,2.244373404310541957e+02,-2.187263990718500348e-04,9.204735838941354017e-04,1.336906262614292018e+00,8.021443523348921190e+00,-7.811647060068378345e-06,3.287411586939568628e-05
3.874314763642362891e+01,2.324587839544031169e+02,-2.265380461319184131e-04,9.533476997635310880e-04,1.336976897134483977e+00,8.021847728120008014e+00,-7.811661505265451349e-06,3.287405864232982675e-05
4.008012453355811289e+01,2.404806316825231249e+02,-2.343497076371838645e-04,9.862217584058609147e-04,1.337039902868973229e+00,8.022236645131243904e+00,-7.811652661643246360e-06,3.287400138538205431e-05
