Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001330858542880442e+01,1.201579192894768155e+01,2.343578276131861121e-05,3.564067816106980551e-05
1.001330858542880442e+01,1.201579192894768155e+01,2.343578276131861121e-05,3.564067816106980551e-05,1.001405827476508570e+01,1.201704706503455000e+01,2.343415965700062904e-05,3.564069424614903762e-05
2.002736686019389012e+01,2.403283899398223156e+01,4.686994241831924025e-05,7.128137240721884314e-05,1.001545750609902186e+01,1.201855022531746897e+01,2.343497247385162183e-05,3.564068700357419129e-05
3.004282436629291198e+01,3.605138921929970053e+01,7.030491489217086207e-05,1.069220594107930344e-04,1.001664029033601366e+01,1.201996951916783729e+01,2.343497329944466763e-05,3.564067971628120273e-05
4.005946465662892564e+01,4.807135873846753782e+01,9.373988819161552970e-05,1.425627391270742372e-04,1.001782503188405116e+01,1.202138696627488201e+01,2.343496538211678221e-05,3.564068984408320147e-05
5.007728968851297680e+01,6.009274570474241983e+01,1.171748535737323119e-04,1.782034289711574386e-04,1.001900791726148299e+01,1.202280828837520943e+01,2.343498073257711920e-05,3.564068828600057263e-05
6.009629760577445978e+01,7.211555399311762926e+01,1.406098343063094311e-04,2.138441172571580113e-04,1.002019085121107622e+01,1.202422966980209651e+01,2.343496696958772738e-05,3.564067504458541969e-05
7.011648845698553600e+01,8.413978366291972577e+01,1.640448012758971585e-04,2.494847923017434310e-04,1.002137383583061592e+01,1.202565111335059100e+01,2.343496483409021939e-05,3.564068503560916153e-05
8.013786229281615192e+01,9.616543477627031677e+01,1.874797661099873779e-04,2.851254773373525925e-04,1.002256068813690604e+01,1.202706498577813932e+01,2.343498596433772770e-05,3.564069498029421093e-05
9.016042298095305796e+01,1.081924997620484561e+02,2.109147520743251056e-04,3.207661723176468034e-04,1.002373995565145037e+01,1.202849417953875388e+01,2.343496052483495557e-05,3.564068160401105689e-05
1.001841629366045083e+02,1.202209939415872100e+02,2.343497125991600611e-04,3.564068539216578603e-04,1.002492690749208748e+01,1.202991580160684748e+01,2.343496998975647789e-05,3.564066818344371933e-05
1.102090898440965958e+02,1.322509097431940575e+02,2.577846825889165390e-04,3.920475221051015796e-04,1.002611391003574681e+01,1.203132222494809866e+01,2.343497944136467516e-05,3.564070126587954440e-05
1.202352037541323426e+02,1.442822319681421561e+02,2.812196620302812142e-04,4.276882233709811240e-04,1.002729332853191124e+01,1.203275923265439928e+01,2.343496560315545081e-05,3.564068775454995669e-05
1.302624970826642539e+02,1.563149912007965554e+02,3.046546276334366650e-04,4.633289111255310807e-04,1.002848043165599279e+01,1.203416576905760849e+01,2.343497502878657060e-05,3.564067419939453193e-05
1.402909775143202467e+02,1.683491569698541639e+02,3.280896026622232356e-04,4.989695853249256127e-04,1.002965231783113609e+01,1.203558763903538420e+01,2.343496116569306325e-05,3.564070714183605829e-05
1.503206298321513827e+02,1.803847446088895481e+02,3.515245638279162988e-04,5.346102924667616709e-04,1.003085478568658573e+01,1.203702482909790206e+01,2.343497056535065633e-05,3.564069349572566645e-05
1.603514846178379685e+02,1.924217694379874501e+02,3.749595343932669552e-04,5.702509859624873374e-04,1.003202677161507950e+01,1.203843154458780873e+01,2.343495667759843424e-05,3.564067980580353217e-05
1.703835113894530480e+02,2.044602009825752589e+02,3.983944910708653894e-04,6.058916657682908696e-04,1.003321408009105653e+01,1.203985358688652241e+01,2.343498932439803169e-05,3.564066607229679582e-05
