Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.015743514027643546e-04,1.201474593117146306e+01,-2.050538965227192590e-05,5.272621167257178038e-05
-2.015743514027643546e-04,1.201474593117146306e+01,-2.050538965227192590e-05,5.272621167257178038e-05,2.015743593001231469e-04,1.201680269297545145e+01,-2.050581013200985454e-05,5.273116092818443443e-05
7.897358788003579209e-12,2.403154862414691451e+01,-4.101119978428178044e-05,1.054573726007562148e-04,2.085027357975659045e-13,1.201693467139210014e+01,-2.050560194740370712e-05,5.272868895100602741e-05
8.105861523801145113e-12,3.604848329553901465e+01,-6.151680173168548756e-05,1.581860615517622422e-04,3.224367301343878072e-12,1.201770941212217281e+01,-2.050559748489189224e-05,5.272869052256286336e-05
1.133022882514502319e-11,4.806619270766118746e+01,-8.202239921657737980e-05,2.109147520743251056e-04,2.673487934442396106e-12,1.201848407435821997e+01,-2.050560465636436030e-05,5.272868030855063729e-05
1.400371675958741929e-11,6.008467678201940743e+01,-1.025280038729417401e-04,2.636434323828757429e-04,2.666140160346325294e-12,1.201925866005075960e+01,-2.050560017664656187e-05,5.272869322535151271e-05
1.666985691993374459e-11,7.210393544207016703e+01,-1.230336040495883020e-04,3.163721256082272556e-04,2.673668465106297251e-12,1.202002935029103980e+01,-2.050560150943254848e-05,5.272868271917951696e-05
1.934352538504004184e-11,8.412396479236120683e+01,-1.435392055590208505e-04,3.691008083274067725e-04,2.668052635466075595e-12,1.202080759430550927e+01,-2.050559119052465669e-05,5.272867206785664855e-05
2.201157802050611743e-11,9.614477238666671610e+01,-1.640447967495455071e-04,4.218294803952634211e-04,2.689611081755601937e-12,1.202157813269822384e+01,-2.050560414958794964e-05,5.272870781584119071e-05
2.470118910226171937e-11,1.081663505193649399e+02,-1.845504008991334568e-04,4.745581882111046118e-04,2.656200877958571839e-12,1.202235621894570272e+01,-2.050559381289800381e-05,5.272867359894174884e-05
2.735738998022029121e-11,1.201887067383106427e+02,-2.050559947120314606e-04,5.272868618100463606e-04,2.676337801085509589e-12,1.202312659903215319e+01,-2.050559511126349879e-05,5.272868578016912978e-05
3.003372778130580080e-11,1.322118333373427959e+02,-2.255615898232949594e-04,5.800155475902154904e-04,2.657579621465122671e-12,1.202390453531199910e+01,-2.050561968974746801e-05,5.272869781310074704e-05
3.269130740277092347e-11,1.442357378726547950e+02,-2.460672095130424274e-04,6.327442454033162375e-04,2.681802608840257758e-12,1.202466711824772005e+01,-2.050559768273282207e-05,5.272866316291904311e-05
3.537311001161118123e-11,1.562604049909025150e+02,-2.665728071957752495e-04,6.854729085662352806e-04,2.663398917189925775e-12,1.202544489813649875e+01,-2.050559895535800222e-05,5.272867490357122187e-05
3.803650892880110700e-11,1.682858498890390138e+02,-2.870784061511332517e-04,7.382015834698065024e-04,2.679983632508315319e-12,1.202622260956533751e+01,-2.050560021943901873e-05,5.272873302526607034e-05
4.071649256130942232e-11,1.803120724986043513e+02,-3.075840063705722704e-04,7.909303164950725728e-04,2.672592290078946932e-12,1.202700022793587209e+01,-2.050560147508635181e-05,5.272869793710268423e-05
4.338908485138836925e-11,1.923390727265402234e+02,-3.280896078456586222e-04,8.436590144321752570e-04,2.676389583127099426e-12,1.202776248580789797e+01,-2.050560272207752315e-05,5.272861618375857245e-05
4.606547443451546868e-11,2.043668352123481213e+02,-3.485952105677361454e-04,8.963876306159338295e-04,2.658167248549920680e-12,1.202853997455520130e+01,-2.050558066899637374e-05,5.272872038439031100e-05
4.872364168306538936e-11,2.163953751869033226e+02,-3.691007912367325191e-04,9.491163510003241405e-04,2.031201047267451078e-03,1.203675626461722459e+01,-3.293749452890538552e-04,3.915202107467542682e-04
2.031201095991092952e-03,2.284321314515205472e+02,-6.984757365257863743e-04,1.340636561747078409e-03,-1.655101003987049808e-03,1.204290231994801275e+01,-3.239251514786264247e-03,3.335434114091754242e-03
3.761000920040432531e-04,2.404750337714685600e+02,-3.937727251312050404e-03,4.676070675838832867e-03,-1.770260104758687725e-01,1.182978876631369758e+01,-4.560759535333361141e-03,4.610550424805805701e-03
-1.766499103838647389e-01,2.523048225377822575e+02,-8.498486786645411545e-03,9.286621100644638568e-03,1.740225494881779689e-01,1.221466259246196273e+01,-4.644980223699482491e-03,4.685986508400227790e-03
-2.627360895686783448e-03,2.645194851302442203e+02,-1.314346701034489404e-02,1.397260760904486636e-02,3.241259753361478476e-03,1.201758801133831867e+01,-4.641299212352414938e-03,4.679419613644096240e-03
6.138988576746951366e-04,2.765370731415825389e+02,-1.778476622269730897e-02,1.865202722268896260e-02,1.146744646919832262e-03,1.200836995741883584e+01,-4.592525429116832425e-03,4.630300616166642402e-03
1.760643504594527507e-03,2.885454430990013748e+02,-2.237729165181414140e-02,2.328232783885560500e-02,5.336185055422866617e-04,1.200097553561982977e+01,-4.504796101713080814e-03,4.542500439902886350e-03
2.294262010136814169e-03,3.005464186346212045e+02,-2.688208775352722221e-02,2.782482827875849135e-02,-1.755709560134545346e-03,1.198929601530647915e+01,-4.504252293187568229e-03,4.541947629081596882e-03
5.385524500022687141e-04,3.125357146499276837e+02,-3.138634004671479044e-02,3.236677590784008823e-02,-2.213141860084311130e-05,1.198347927555840897e+01,-4.504611508049927160e-03,4.542318831220262809e-03
5.164210314014256028e-04,3.245191939254860927e+02,-3.589095155476471760e-02,3.690909473906035104e-02,2.138621790211104289e-05,1.197430770512926301e+01,-4.504616719471991881e-03,4.542328876916822133e-03
5.378072493035366457e-04,3.364935016306153557e+02,-4.039556827423670948e-02,4.145142361597717318e-02,-6.247194710709440962e-02,1.188771112753289572e+01,-5.028014673855031591e-03,5.065448681754153304e-03
-6.193413985779087222e-02,3.483812127581482514e+02,-4.542358294809174107e-02,4.651687229773132648e-02,4.998613565227917610e-02,1.199419351496487707e+01,-5.211858086161251513e-03,5.249940986409684651e-03
-1.194800420551169959e-02,3.603754062731131285e+02,-5.063544103425299259e-02,5.176681328414101113e-02,1.282593987732593560e-02,1.194121828503881488e+01,-5.211358704180206469e-03,5.249176373929582973e-03
8.779356718142354707e-04,3.723166245581519433e+02,-5.584679973843319906e-02,5.701598965807059410e-02,2.999189961508212654e-05,1.191122104303002516e+01,-5.210487060229106182e-03,5.248207398046648986e-03
9.079275714293175972e-04,3.842278456011819685e+02,-6.105728679866230524e-02,6.226419705611724309e-02,-2.396360210596144413e-05,1.189532594094674778e+01,-5.210481310546147271e-03,5.248207691808171038e-03
8.839639693233561531e-04,3.961231715421287163e+02,-6.626776810920845251e-02,6.751240474792541413e-02,1.094588153191283948e-05,1.187877779308087156e+01,-5.210492952491055374e-03,5.248208655688660351e-03
8.949098508552689926e-04,4.080019493352095878e+02,-7.147826106169950788e-02,7.276061340361407448e-02,1.116924148228089567e-05,1.186143233561324450e+01,-5.210497353032500500e-03,5.248209524872884946e-03
9.060790923375498882e-04,4.198633816708228323e+02,-7.668875841473200838e-02,7.800882292848695942e-02,-3.507285953702294831e-03,1.183689917670409386e+01,-5.274140813884845014e-03,5.311852948433226640e-03
-2.601206861364744726e-03,4.317002808475269262e+02,-8.196289922861685340e-02,8.332067587692018606e-02,-2.229729663699414333e-01,1.154825603333608797e+01,-6.334180659608071307e-03,6.370721834614886947e-03
-2.255741732313061854e-01,4.432485368808630142e+02,-8.829707988822492470e-02,8.969139771153507301e-02,2.254882243705647604e-01,5.570200713222448030e+00,-2.879425180800934680e-03,2.897914037819165900e-03
