Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.320017186110278296e+00,1.980016458968158588e+00,2.413740546254487431e-06,6.436556963282362007e-06
1.320017186110278296e+00,1.980016458968158588e+00,2.413740546254487431e-06,6.436556963282362007e-06,1.320029518807839697e+00,1.980053630554858835e+00,2.413688154265598493e-06,6.436585382621814553e-06
2.640046704918117992e+00,3.960070089523017423e+00,4.827428700520085924e-06,1.287314234590417656e-05,1.320058541072934410e+00,1.980087583576636057e+00,2.413714160473215266e-06,6.436572328899444717e-06
3.960105245991052403e+00,5.940157673099653479e+00,7.241142860993301191e-06,1.930971467480362128e-05,1.320081841368458075e+00,1.980122609681973955e+00,2.413714518797856553e-06,6.436570188817911304e-06
5.280187087359510478e+00,7.920280282781627434e+00,9.654857379791157744e-06,2.574628486362153258e-05,1.320105141780775426e+00,1.980158112840067375e+00,2.413713785991820310e-06,6.436570958978048005e-06
6.600292229140285905e+00,9.900438395621694809e+00,1.206857116578297805e-05,3.218285582259958059e-05,1.320128203902260822e+00,1.980192185646654224e+00,2.413714508436293939e-06,6.436573183636720751e-06
7.920420433042546726e+00,1.188063058126834903e+01,1.448228567421927199e-05,3.861942900623630134e-05,1.320152219831160600e+00,1.980228165986089195e+00,2.413714503011556132e-06,6.436569587792795126e-06
9.240572652873707327e+00,1.386085874725443823e+01,1.689600017723082813e-05,4.505599859402909646e-05,1.320175282195064526e+00,1.980263192875506562e+00,2.413714497572793153e-06,6.436571812351223217e-06
1.056074793506877185e+01,1.584112194012994479e+01,1.930971467480362128e-05,5.149257040638031968e-05,1.320198821527307942e+00,1.980297266180848226e+00,2.413714492120011779e-06,6.436571125985924853e-06
1.188094675659607979e+01,1.782141920631079302e+01,2.172342916692363306e-05,5.792914153236624453e-05,1.320221407267299085e+00,1.980333247119251183e+00,2.413713031852070056e-06,6.436570439367234888e-06
1.320116816386337888e+01,1.980175245343004420e+01,2.413714219877570311e-05,6.436571197173347942e-05,1.320245900560426122e+00,1.980368274641076454e+00,2.413714481397923143e-06,6.436575573204349806e-06
1.452141406442380500e+01,2.178212072807112065e+01,2.655085668017362626e-05,7.080228754493782923e-05,1.320268486563579202e+00,1.980403302100953056e+00,2.413714476125112553e-06,6.436569065998239592e-06
1.584168255098738420e+01,2.376252403017207371e+01,2.896457115629873881e-05,7.723885661093606882e-05,1.320292026388349527e+00,1.980438330005938496e+00,2.413714470616233881e-06,6.436574198809570505e-06
1.716197457737573373e+01,2.574296236017801220e+01,3.137828562691497269e-05,8.367543080974563932e-05,1.320314612630852480e+00,1.980471450282383472e+00,2.413714465315372948e-06,6.436567691171609013e-06
1.848228919000658621e+01,2.772343381046039568e+01,3.379200009223034564e-05,9.011199850091724834e-05,1.320340060117267456e+00,1.980508386078788874e+00,2.413714459778454097e-06,6.436572823845300461e-06
1.980262925012385367e+01,2.970394219653918455e+01,3.620571455200879973e-05,9.654857132476254880e-05,1.320361692897190409e+00,1.980543414397200053e+00,2.413714454227501604e-06,6.436572135631315420e-06
2.112299094302104407e+01,3.168448561093638460e+01,3.861942900623630134e-05,1.029851434603938642e-04,1.320385233214473431e+00,1.980578442895655655e+00,2.413714448884573627e-06,6.436571447163965884e-06
