Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.010429799605077505e+00,8.010429799605077505e+00,2.148228731312630549e-05,2.148228731312630549e-05
8.010429799605077505e+00,8.010429799605077505e+00,2.148228731312630549e-05,2.148228731312630549e-05,8.010947525710395922e+00,8.010947525710395922e+00,2.148182583459373981e-05,2.148182583459373981e-05
1.602137732531547343e+01,1.602137732531547343e+01,4.296411314772004530e-05,4.296411314772004530e-05,8.011720869814869417e+00,8.011720869814869417e+00,2.148205991220992014e-05,2.148205991220992014e-05
2.403309819513034284e+01,2.403309819513034284e+01,6.444617305992996544e-05,6.444617305992996544e-05,8.012410309096949845e+00,8.012410309096949845e+00,2.148205824432367951e-05,2.148205824432367951e-05
3.204550850422729269e+01,3.204550850422729269e+01,8.592823130425364495e-05,8.592823130425364495e-05,8.013095955480309840e+00,8.013095955480309840e+00,2.148205656640971397e-05,2.148205656640971397e-05
4.005860445970760253e+01,4.005860445970760253e+01,1.074102878706633589e-04,1.074102878706633589e-04,8.013787346888967988e+00,8.013787346888967988e+00,2.148206069906180668e-05,2.148206069906180668e-05
4.807239180659657052e+01,4.807239180659657052e+01,1.288923485697251656e-04,1.288923485697251656e-04,8.014474944844394599e+00,8.014474944844394599e+00,2.148205318126421076e-05,2.148205318126421076e-05
5.608686675144096512e+01,5.608686675144096512e+01,1.503744017509893764e-04,1.503744017509893764e-04,8.015158750137530319e+00,8.015158750137530319e+00,2.148205729405797517e-05,2.148205729405797517e-05
6.410202550157849544e+01,6.410202550157849544e+01,1.718564590450473515e-04,1.718564590450473515e-04,8.015857838308704686e+00,8.015857838308704686e+00,2.148204975712552549e-05,2.148204975712552549e-05
7.211788333988720012e+01,7.211788333988720012e+01,1.933385088021728770e-04,1.933385088021728770e-04,8.016537872510070883e+00,8.016537872510070883e+00,2.148205384961955578e-05,2.148205384961955578e-05
8.013442121239727101e+01,8.013442121239727101e+01,2.148205626517924328e-04,2.148205626517924328e-04,8.017225560666233264e+00,8.017225560666233264e+00,2.148206957120664677e-05,2.148206957120664677e-05
8.815164677306350427e+01,8.815164677306350427e+01,2.363026322229990796e-04,2.363026322229990796e-04,8.017920899329411100e+00,8.017920899329411100e+00,2.148205036591745946e-05,2.148205036591745946e-05
9.616956767239291537e+01,9.616956767239291537e+01,2.577846825889165390e-04,2.577846825889165390e-04,8.018600999521652284e+00,8.018600999521652284e+00,2.148205442860471204e-05,2.148205442860471204e-05
1.041881686719145677e+02,1.041881686719145677e+02,2.792667370175212511e-04,2.792667370175212511e-04,8.019296384822695245e+00,8.019296384822695245e+00,2.148205848111694408e-05,2.148205848111694408e-05
1.122074650567372629e+02,1.122074650567372629e+02,3.007487954986381952e-04,3.007487954986381952e-04,8.019984160984492405e+00,8.019984160984492405e+00,2.148206252345475189e-05,2.148206252345475189e-05
1.202274492177217553e+02,1.202274492177217553e+02,3.222308580220929470e-04,3.222308580220929470e-04,8.020671959368030457e+00,8.020671959368030457e+00,2.148206655561889439e-05,2.148206655561889439e-05
1.282481211770897858e+02,1.282481211770897858e+02,3.437129245777118414e-04,3.437129245777118414e-04,8.021367408983280711e+00,8.021367408983280711e+00,2.148204730295817655e-05,2.148204730295817655e-05
1.362694885860730665e+02,1.362694885860730665e+02,3.651949718806700180e-04,3.651949718806700180e-04,8.022047619419538478e+00,8.022047619419538478e+00,2.148205131599878167e-05,2.148205131599878167e-05
1.442915362054926049e+02,1.442915362054926049e+02,3.866770231966687997e-04,3.866770231966687997e-04,8.022743120145406692e+00,8.022743120145406692e+00,2.148207859207552396e-05,2.148207859207552396e-05
1.523142793256380116e+02,1.523142793256380116e+02,4.081591017887443236e-04,4.081591017887443236e-04,8.023423371338054721e+00,8.023423371338054721e+00,2.148205931039944179e-05,2.148205931039944179e-05
1.603377026969760664e+02,1.603377026969760664e+02,4.296411610991437654e-04,4.296411610991437654e-04,8.024118905456020912e+00,8.024118905456020912e+00,2.148201674762262531e-05,2.148201674762262531e-05
1.683618216024320873e+02,1.683618216024320873e+02,4.511231778467663907e-04,4.511231778467663907e-04,8.024799211577771985e+00,8.024799211577771985e+00,2.148206726606188355e-05,2.148206726606188355e-05
1.763866208140098593e+02,1.763866208140098593e+02,4.726052451128282743e-04,4.726052451128282743e-04,8.025494798295682131e+00,8.025494798295682131e+00,2.148207122780611917e-05,2.148207122780611917e-05
1.844121156123055414e+02,1.844121156123055414e+02,4.940873163406343934e-04,4.940873163406343934e-04,8.026190407724527631e+00,8.026190407724527631e+00,2.148207517982565762e-05,2.148207517982565762e-05
1.924383060200300690e+02,1.924383060200300690e+02,5.155693915204600511e-04,5.155693915204600511e-04,8.026870763555194799e+00,8.026870763555194799e+00,2.148203258015089333e-05,2.148203258015089333e-05
2.004651767835852638e+02,2.004651767835852638e+02,5.370514241006109444e-04,5.370514241006109444e-04,8.027566426701071123e+00,8.027566426701071123e+00,2.148208305369583328e-05,2.148208305369583328e-05
2.084927432102863349e+02,2.084927432102863349e+02,5.585335071543067777e-04,5.585335071543067777e-04,8.028246825894768790e+00,8.028246825894768790e+00,2.148204043590871276e-05,2.148204043590871276e-05
2.165209900361811037e+02,2.165209900361811037e+02,5.800155475902154904e-04,5.800155475902154904e-04,8.028942524106867040e+00,8.028942524106867040e+00,2.148204434926001809e-05,2.148204434926001809e-05
2.245499325602879708e+02,2.245499325602879708e+02,6.014975919394755085e-04,6.014975919394755085e-04,8.029622976733122641e+00,8.029622976733122641e+00,2.148204825200218833e-05,2.148204825200218833e-05
2.325795555370210934e+02,2.325795555370210934e+02,6.229796401914776969e-04,6.229796401914776969e-04,8.030318719707736363e+00,8.030318719707736363e+00,2.148205214480168254e-05,2.148205214480168254e-05
2.406098742567288298e+02,2.406098742567288298e+02,6.444616923362793794e-04,6.444616923362793794e-04,8.031014485391153812e+00,8.031014485391153812e+00,2.148205602743699823e-05,2.148205602743699823e-05
2.486408887421199836e+02,2.486408887421199836e+02,6.659437483637163776e-04,6.659437483637163776e-04,8.031679735226049388e+00,8.031679735226049388e+00,2.148205989990889433e-05,2.148205989990889433e-05
2.566725684773460330e+02,2.566725684773460330e+02,6.874258082636252720e-04,6.874258082636252720e-04,8.032406084226977327e+00,8.032406084226977327e+00,2.148206376244006597e-05,2.148206376244006597e-05
2.647049745615730103e+02,2.647049745615730103e+02,7.089078720260653379e-04,7.089078720260653379e-04,8.033086648100322691e+00,8.033086648100322691e+00,2.148206761436513828e-05,2.148206761436513828e-05
2.727380612096733330e+02,2.727380612096733330e+02,7.303899396404304762e-04,7.303899396404304762e-04,8.033736693174375887e+00,8.033736693174375887e+00,2.148207145635078717e-05,2.148207145635078717e-05
2.807717979028477089e+02,2.807717979028477089e+02,7.518720110967812634e-04,7.518720110967812634e-04,8.034478368114605473e+00,8.034478368114605473e+00,2.148202875808951934e-05,2.148202875808951934e-05
2.888062762709623144e+02,2.888062762709623144e+02,7.733540398548707827e-04,7.733540398548707827e-04,8.035128455889719135e+00,8.035128455889719135e+00,2.148203258175323573e-05,2.148203258175323573e-05
2.968414047268520335e+02,2.968414047268520335e+02,7.948360724366240184e-04,7.948360724366240184e-04,8.035839662575313014e+00,8.035839662575313014e+00,2.148208292334448290e-05,2.148208292334448290e-05
3.048772443894273465e+02,3.048772443894273465e+02,8.163181553599685013e-04,8.163181553599685013e-04,8.036520336376781870e+00,8.036520336376781870e+00,2.148208672469076493e-05,2.148208672469076493e-05
3.129137647258041284e+02,3.129137647258041284e+02,8.378002420846592663e-04,8.378002420846592663e-04,8.037231545862596249e+00,8.037231545862596249e+00,2.148199746370262411e-05,2.148199746370262411e-05
3.209509962716667246e+02,3.209509962716667246e+02,8.592822395483618904e-04,8.592822395483618904e-04,8.037881749056339231e+00,8.037881749056339231e+00,2.148209429890816837e-05,2.148209429890816837e-05
3.289888780207230639e+02,3.289888780207230639e+02,8.807643338472700588e-04,8.807643338472700588e-04,8.038593033136749000e+00,8.038593033136749000e+00,2.148209807000369190e-05,2.148209807000369190e-05
3.370274710538598129e+02,3.370274710538598129e+02,9.022464319172737507e-04,9.022464319172737507e-04,8.039304308827581735e+00,8.039304308827581735e+00,2.148200878409754939e-05,2.148200878409754939e-05
3.450667753626873946e+02,3.450667753626873946e+02,9.237284407013713000e-04,9.237284407013713000e-04,8.039954578768345073e+00,8.039954578768345073e+00,2.148210558328134383e-05,2.148210558328134383e-05
3.531067299414557397e+02,3.531067299414557397e+02,9.452105462846526439e-04,9.452105462846526439e-04,8.040665897720430166e+00,8.040665897720430166e+00,2.148201628106229544e-05,2.148201628106229544e-05
3.611473958391761698e+02,3.611473958391761698e+02,9.666925625657149393e-04,9.666925625657149393e-04,8.041346724702634674e+00,8.041346724702634674e+00,2.148202001553401169e-05,2.148202001553401169e-05
3.691887425638788045e+02,3.691887425638788045e+02,9.881745825812489510e-04,9.881745825812489510e-04,8.042058156856796813e+00,8.042058156856796813e+00,2.148211677781438310e-05,2.148211677781438310e-05
3.772308007207356013e+02,3.772308007207356013e+02,1.009656699359063334e-03,1.009656699359063334e-03,8.042708445228697656e+00,8.042708445228697656e+00,2.148202745157418506e-05,2.148202745157418506e-05
3.852735091659642990e+02,3.852735091659642990e+02,1.031138726810637519e-03,1.031138726810637519e-03,8.043419887071934227e+00,8.043419887071934227e+00,2.148203115536428086e-05,2.148203115536428086e-05
3.933169290530362332e+02,3.933169290530362332e+02,1.052620757966001800e-03,1.052620757966001800e-03,8.044131389900769591e+00,8.044131389900769591e+00,2.148212788119193209e-05,2.148212788119193209e-05
4.013610604429370028e+02,4.013610604429370028e+02,1.074102885847193732e-03,1.074102885847193732e-03,8.044781740536848247e+00,8.044781740536848247e+00,2.148203853049191620e-05,2.148203853049191620e-05
4.094058421834738510e+02,4.094058421834738510e+02,1.095584924377685648e-03,1.095584924377685648e-03,8.045493250814786279e+00,8.045493250814786279e+00,2.148204220382850770e-05,2.148204220382850770e-05
4.174513354342886373e+02,4.174513354342886373e+02,1.117066966581514156e-03,1.117066966581514156e-03,8.046174232453950026e+00,8.046174232453950026e+00,2.148204586701566582e-05,2.148204586701566582e-05
4.254975096667425873e+02,4.254975096667425873e+02,1.138549012448529822e-03,1.138549012448529822e-03,8.046885788790518745e+00,8.046885788790518745e+00,2.148204951983156280e-05,2.148204951983156280e-05
4.335443954555331061e+02,4.335443954555331061e+02,1.160031061968361385e-03,1.160031061968361385e-03,8.047566815176480759e+00,8.047566815176480759e+00,2.148205316294233246e-05,2.148205316294233246e-05
4.415919622707095868e+02,4.415919622707095868e+02,1.181513115131303717e-03,1.181513115131303717e-03,8.048247863279698322e+00,8.048247863279698322e+00,2.148205679568357569e-05,2.148205679568357569e-05
4.496402101339892852e+02,4.496402101339892852e+02,1.202995171926987293e-03,1.202995171926987293e-03,1.446957949211196137e+00,1.446957949211196137e+00,3.862008825065554180e-06,3.862008825065554180e-06
