Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.002528568807257159e+00,1.201497764171991633e+01,-1.171688079288812611e-05,4.930908408784028614e-05
2.002528568807257159e+00,1.201497764171991633e+01,-1.171688079288812611e-05,4.930908408784028614e-05,2.002772500484995000e+00,1.201682830496059751e+01,-1.171809058114432945e-05,4.931308995430334484e-05
4.005301069292252159e+00,2.403180594668051384e+01,-2.343497137403245556e-05,9.862217404214363098e-05,2.002876717195609224e+00,1.201725780940267185e+01,-1.171748572263457816e-05,4.931108314662255147e-05
6.008177786487861383e+00,3.604906375608318569e+01,-3.515245709666703372e-05,1.479332571887661825e-04,2.003027178425467625e+00,1.201816225032062846e+01,-1.171748477404077794e-05,4.931109592320036153e-05
8.011204964913329007e+00,4.806722600640381415e+01,-4.686994187070781166e-05,1.972443531119665440e-04,2.003177155868636206e+00,1.201906474099699551e+01,-1.171748818956853304e-05,4.931108530057976697e-05
1.001438212078196521e+01,6.008629074740080966e+01,-5.858743006027634470e-05,2.465554384125463109e-04,2.003328556849446329e+00,1.201996718952224796e+01,-1.171748578252100354e-05,4.931107455963533752e-05
1.201771067763141154e+01,7.210625793692305763e+01,-7.030491584279734824e-05,2.958665129721816485e-04,2.003478997275667695e+00,1.202086959784813303e+01,-1.171748337378003156e-05,4.931108697550239161e-05
1.402118967490707924e+01,8.412712753477119065e+01,-8.202239921657737980e-05,3.451775999476840401e-04,2.003629430683632862e+00,1.202177959501740645e+01,-1.171748678467951054e-05,4.931107599588966479e-05
1.602481910559071210e+01,9.614890712978859710e+01,-9.373988600125689034e-05,3.944886759435737049e-04,2.003779857131657849e+00,1.202267429061890880e+01,-1.171749019397903238e-05,4.931111144342882873e-05
1.802859896272236995e+01,1.081715814204075059e+02,-1.054573761952359227e-04,4.437997873870025336e-04,2.003931230415570752e+00,1.202358419972472348e+01,-1.171748195895982558e-05,4.931105367912995072e-05
2.003253019313794070e+01,1.201951656201322294e+02,-1.171748581541957483e-04,4.931108410661324843e-04,2.004080689544966987e+00,1.202447881133792862e+01,-1.171747954358089356e-05,4.931108888558987692e-05
2.203661088268290769e+01,1.322196444314701580e+02,-1.288923376977766419e-04,5.424219299517223612e-04,2.004232048583471482e+00,1.202538864242268346e+01,-1.171748876972186293e-05,4.931107742840929505e-05
2.404084293126637917e+01,1.442450330738928415e+02,-1.406098264674985048e-04,5.917330073801316563e-04,2.004381493838746309e+00,1.202628317114198353e+01,-1.171748635111721261e-05,4.931111238904914689e-05
2.604522442510512548e+01,1.562713162450348250e+02,-1.523273128186157174e-04,6.410441197691808032e-04,2.004534746274149626e+00,1.202719291970853988e+01,-1.171748393092978974e-05,4.931110069089617541e-05
2.804975917137927510e+01,1.682985091647433649e+02,-1.640447967495455071e-04,6.903552204600769786e-04,2.004684177307339610e+00,1.202810261881646170e+01,-1.171749315256027479e-05,4.931104234270249423e-05
3.005444334868661471e+01,1.803266117835598266e+02,-1.757622899021057819e-04,7.396662628027794728e-04,2.004833602125859926e+00,1.202899703117100216e+01,-1.171747908560951843e-05,4.931112347132280901e-05
3.205927695081247464e+01,1.923556088147308287e+02,-1.874797689877153004e-04,7.889773862741022818e-04,2.004984926298405412e+00,1.202989138453045825e+01,-1.171748830412490091e-05,4.931111141413910704e-05
3.406426187711088005e+01,2.043855001992612870e+02,-1.991972572918402013e-04,8.382884976882413889e-04,2.005136243862622791e+00,1.203081621908742704e+01,-1.171748587743435210e-05,4.931100618908051438e-05
3.606939812097350284e+01,2.164163164183487140e+02,-2.109147431692745534e-04,8.875995038773219032e-04,2.005287554468516475e+00,1.203169523467224167e+01,-1.171748344893857956e-05,4.931108694982029843e-05
3.807468567544201932e+01,2.284480116530209557e+02,-2.226322266182131329e-04,9.369105908271422017e-04,2.005438858116093570e+00,1.203262002950216925e+01,-1.171748101897073153e-05,4.931116757871871308e-05
4.008012453355811289e+01,2.404806316825231249e+02,-2.343497076371838645e-04,9.862217584058609147e-04,2.005586340066422224e+00,1.203349891812274564e+01,-1.171750187585856294e-05,4.931106200379642771e-05
4.208571087362453511e+01,2.525141306006458706e+02,-2.460672095130424274e-04,1.035532820409657342e-03,2.010984935748552971e+00,1.203826382021108543e+01,-8.763447237651025758e-05,1.387633207067557207e-04
4.409669580937308808e+01,2.645523944208569560e+02,-3.337016818895526850e-04,1.174296141116413063e-03,2.041372483124341386e+00,1.206648018908089171e+01,-7.530386231420110096e-04,8.562730516002519093e-04
4.613806829249742947e+01,2.766188746099378477e+02,-1.086740305031563695e-03,2.030569192716664972e-03,2.025095118143042328e+00,1.207301481445756508e+01,-2.695973076582989895e-03,2.791463879878236347e-03
4.816316341064047180e+01,2.886918894243954128e+02,-3.782713381614553807e-03,4.822033072594901319e-03,1.881050464938354594e+00,1.190624384023828952e+01,-3.776914582355541099e-03,3.833731934515408578e-03
