Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.650001899784221404e-01,9.899998596359894654e-01,-9.654815698090274930e-07,4.063072014390910390e-06
1.650001899784221404e-01,9.899998596359894654e-01,-9.654815698090274930e-07,4.063072014390910390e-06,1.650018681178652136e-01,9.900124345283153326e-01,-9.654897780472755430e-07,4.063099161294725042e-06
3.300020580962873540e-01,1.980012294164304798e+00,-1.930971347856303036e-06,8.126171175685635432e-06,1.650025329775132721e-01,9.900153533674793671e-01,-9.654857078723158647e-07,4.063086290521469201e-06
4.950045910738006261e-01,2.970027647531784165e+00,-2.896457055728618901e-06,1.218925746620710463e-05,1.650036150645282640e-01,9.900214908580444728e-01,-9.654857306486769096e-07,4.063085788853758193e-06
6.600082061383288901e-01,3.960049138389828638e+00,-3.861942786377295810e-06,1.625234325506086283e-05,1.650045481364322830e-01,9.900273899004479183e-01,-9.654859350575667113e-07,4.063085286903046702e-06
8.250127542747611731e-01,4.950076528290276556e+00,-4.827428721434862522e-06,2.031542854196390953e-05,1.650056600182282507e-01,9.900340041970228100e-01,-9.654854121548320426e-07,4.063086240136239494e-06
9.900184142929894238e-01,5.940110532487299366e+00,-5.792914133589694564e-06,2.437851478210014902e-05,1.650066526863954719e-01,9.900396647573836972e-01,-9.654859804952693500e-07,4.063084283256912673e-06
1.155025066979384896e+00,6.930150197244683064e+00,-6.758400114084963914e-06,2.844159906535706169e-05,1.650075857472590446e-01,9.900462790112314337e-01,-9.654858211906624905e-07,4.063085236134331298e-06
1.320032652726643940e+00,7.920196476255914497e+00,-7.723885935275626405e-06,3.250468430149139299e-05,1.650086976174969244e-01,9.900519395412858970e-01,-9.654852981724704549e-07,4.063086189377126056e-06
1.485041350344140865e+00,8.910248415797200394e+00,-8.689371233448096860e-06,3.656777049086851905e-05,1.650098094814489436e-01,9.900580769016418259e-01,-9.654862304462547896e-07,4.063087142319190236e-06
1.650051159825589808e+00,9.900306492698842220e+00,-9.654857463894351649e-06,4.063085763318770928e-05,1.650106829273905173e-01,9.900642142098821097e-01,-9.654857073150185839e-07,4.063085184974002070e-06
1.815061842752980326e+00,1.089037070690872433e+01,-1.062034317120937023e-05,4.469394281816171135e-05,1.650117947859555123e-01,9.900713052444487516e-01,-9.654851841813683343e-07,4.063086137782343464e-06
1.980073637538935838e+00,1.188044201215317308e+01,-1.158582835539073857e-05,4.875702895594405482e-05,1.650126682234871467e-01,9.900764887833872763e-01,-9.654853889166550824e-07,4.063084180327061344e-06
2.145086305762422985e+00,1.287051850093656036e+01,-1.255131374430739365e-05,5.282011313627111616e-05,1.650137800728233017e-01,9.900826260505386500e-01,-9.654855933185598269e-07,4.063085133223704229e-06
2.310100085835246286e+00,1.386060112698709901e+01,-1.351679933762595348e-05,5.688319826949482039e-05,1.650148919161114058e-01,9.900887632972636965e-01,-9.654865255929150617e-07,4.063086085597578708e-06
2.475114977751357692e+00,1.485068989028436270e+01,-1.448228586321886854e-05,6.094628435509239910e-05,1.650157653437425154e-01,9.900949005235766265e-01,-9.654860024552261590e-07,4.063087038336849648e-06
2.640130743095100208e+00,1.584078479080793933e+01,-1.544777186567409470e-05,6.500937139342924875e-05,1.650168771828446346e-01,9.901010377294614528e-01,-9.654854794261421267e-07,4.063087990775383234e-06
2.805147620277944842e+00,1.683088582853740078e+01,-1.641325734510023682e-05,6.907245938420463198e-05,1.650179890180627496e-01,9.901081285552706390e-01,-9.654849563946474387e-07,4.063083122883648997e-06
2.970165609296007592e+00,1.782099395709267142e+01,-1.737874230149488426e-05,7.313554250708828098e-05,1.650188624306276886e-01,9.901123582206672324e-01,-9.654858885567470911e-07,4.063084075212115734e-06
3.135184471726635280e+00,1.881110631531333865e+01,-1.834422819005163135e-05,7.719862658230039671e-05,1.650199742532540981e-01,9.901204028496373155e-01,-9.654868207206492297e-07,4.063085027461896498e-06
3.300204445979889378e+00,1.980122671816297597e+01,-1.930971501077228058e-05,8.126171160976229321e-05,1.650208476676162661e-01,9.901265399700669434e-01,-9.654848424887026224e-07,4.063085979855035894e-06
3.465225293647505644e+00,2.079135325813304291e+01,-2.027519985326098321e-05,8.532479758961732910e-05,1.650221978959685032e-01,9.901307695509373730e-01,-9.654857746505854344e-07,4.063086931725413660e-06
3.630247491543474148e+00,2.178148402768398029e+01,-2.124068562791156864e-05,8.938788452134274276e-05,1.650228328846945480e-01,9.901388141418934197e-01,-9.654852515016106647e-07,4.063087883961181111e-06
3.795270324428168696e+00,2.277162284182587371e+01,-2.220617087941317931e-05,9.345097240530392388e-05,1.650241831043177676e-01,9.901430435281426412e-01,-9.654861836642795233e-07,4.063083015786537870e-06
3.960294507532486463e+00,2.376176588535401635e+01,-2.317165706307745883e-05,9.751405542109046175e-05,1.650250564989992341e-01,9.901510880822179672e-01,-9.654856607353334201e-07,4.063083967468183143e-06
4.125319564031485697e+00,2.475191697343623431e+01,-2.413714272381279225e-05,1.015771393885586449e-04,1.650261683030826987e-01,9.901553176886856988e-01,-9.654851375819201978e-07,4.063090739799630948e-06
4.290345732334568396e+00,2.574207229112492001e+01,-2.510262786139471245e-05,1.056402301283582758e-04,1.650268032720685341e-01,9.901633620733818475e-01,-9.654860697443756040e-07,4.063085871237859768e-06
4.455372535606636930e+00,2.673223565319830186e+01,-2.606811393113908805e-05,1.097033159995961356e-04,1.650283918863664212e-01,9.901675913123604289e-01,-9.654870019086233320e-07,4.063081002890394700e-06
4.620400927493003351e+00,2.772240324451066229e+01,-2.703360093304771138e-05,1.137663970024865303e-04,1.650290268609913014e-01,9.901756359713154154e-01,-9.654850235435231455e-07,4.063087774740145033e-06
4.785429954353994653e+00,2.871257888048197771e+01,-2.799908595659123453e-05,1.178294847772266753e-04,1.650301386427734940e-01,9.901817727235489031e-01,-9.654859558167806256e-07,4.063082906060588840e-06
4.950460092996768147e+00,2.970276065320552661e+01,-2.896457191240801515e-05,1.218925676832872642e-04,1.650312504348372400e-01,9.901860022064177258e-01,-9.654839774440435900e-07,4.063089677705682460e-06
5.115491343431605387e+00,3.069294665541194433e+01,-2.993005588985205874e-05,1.259556573609929466e-04,1.650318853705741162e-01,9.901940464874172676e-01,-9.654878201438327374e-07,4.063084809138097246e-06
5.280523228802179503e+00,3.168314070189936160e+01,-3.089554370999589148e-05,1.300187421701310439e-04,1.650334739772754133e-01,9.902001835298221977e-01,-9.654858417690729872e-07,4.063091580356530206e-06
5.445556702779454916e+00,3.267334088542918380e+01,-3.186102955176496447e-05,1.340818337504875741e-04,1.650341089364220082e-01,9.902025045612887766e-01,-9.654838634987083536e-07,4.063075071932426572e-06
5.610590811715876924e+00,3.366354338999047258e+01,-3.282651341526367282e-05,1.381449088224200007e-04,1.650352206812106814e-01,9.902143647832488682e-01,-9.654877060956846418e-07,4.063093482740000144e-06
5.775626032397087606e+00,3.465375775477372144e+01,-3.379200112135935746e-05,1.422080023051600008e-04,1.650363324545338628e-01,9.902147785109960409e-01,-9.654857278233006817e-07,4.063088614174325836e-06
5.940662364851621469e+00,3.564397253328471749e+01,-3.475748684918265815e-05,1.462710909193343266e-04,1.650374442246933526e-01,9.902266379435218369e-01,-9.654837494332536808e-07,4.063083745156918693e-06
6.105699809076314821e+00,3.663419917122823932e+01,-3.572297059861591183e-05,1.503341746644912453e-04,1.650380791355221533e-01,9.902270515493540870e-01,-9.654875921494718793e-07,4.063078876575767400e-06
6.270737888211836975e+00,3.762442622277759341e+01,-3.668845819076538371e-05,1.543972535410670127e-04,1.650396677175569593e-01,9.902389114023364414e-01,-9.654856137574123281e-07,4.063085647052877124e-06
6.435777555929393934e+00,3.861466513417992985e+01,-3.765394380452279603e-05,1.584603391881198899e-04,1.650403026575597565e-01,9.902431406874541153e-01,-9.654836354697478936e-07,4.063092418046446554e-06
6.600817858586953690e+00,3.960490827486738397e+01,-3.861942743999254393e-05,1.625234316061663364e-04,1.650414143746781193e-01,9.902473694737210508e-01,-9.654874781941653709e-07,4.063087548808919265e-06
6.765859272961631810e+00,4.059515564434110502e+01,-3.958491491818670930e-05,1.665865191549752557e-04,1.650425261260961562e-01,9.902554135472882990e-01,-9.654854997934593074e-07,4.063082679785711641e-06
6.930901799087727966e+00,4.158541105788839332e+01,-4.055040041798016861e-05,1.706496018347609673e-04,1.650431610363352064e-01,9.902596427381240574e-01,-9.654864319566058926e-07,4.063089450297597150e-06
7.095944960124063172e+00,4.257567070062651737e+01,-4.151588684993677450e-05,1.747126912850585645e-04,1.650447495982874102e-01,9.902676867748070322e-01,-9.654844535482562037e-07,4.063084580942325505e-06
7.260989709722350582e+00,4.356593838740132441e+01,-4.248137130348503070e-05,1.787757758660008900e-04,1.650453845011972120e-01,9.902719154022818770e-01,-9.654853858204125411e-07,4.063079711801346420e-06
7.426035094223547794e+00,4.455621030280360628e+01,-4.344685668930544324e-05,1.828388555778022364e-04,1.650464962168651795e-01,9.902799599090883476e-01,-9.654863178723199833e-07,4.063086482053592614e-06
7.591081590440412974e+00,4.554649026271269463e+01,-4.441234300717776323e-05,1.869019420598558290e-04,1.650476079505027727e-01,9.902841884686779395e-01,-9.654843396773683871e-07,4.063081612802594113e-06
7.756129198390915747e+00,4.653677445118137257e+01,-4.537782734685513161e-05,1.909650236726584231e-04,1.650482428198056795e-01,9.902922329616359320e-01,-9.654881822007680054e-07,4.063088382628233857e-06
7.921177441210721426e+00,4.752706668414300850e+01,-4.634331552905589962e-05,1.950281120552866570e-04,1.650498313842501119e-01,9.902964614533544818e-01,-9.654832934164443519e-07,4.063083513267161731e-06
8.086227272594971538e+00,4.851736314559636298e+01,-4.730879882247234397e-05,1.990911955685538187e-04,1.650509430594020444e-01,9.903045053563701572e-01,-9.654871360544712449e-07,4.063078643898418874e-06
8.251278215654373582e+00,4.950766765095273314e+01,-4.827428595852681522e-05,2.031542742124522376e-04,1.650515779638244140e-01,9.903087355200455022e-01,-9.654851577388411706e-07,4.063108691793472071e-06
8.416329793618197996e+00,5.049797638647277864e+01,-4.923977111626565639e-05,2.072173829042457097e-04,1.650522128414859679e-01,9.903167776347956419e-01,-9.654860899013236819e-07,4.063068904773845880e-06
8.581382006459683964e+00,5.148829316410757428e+01,-5.020525720616698007e-05,2.112804518090195555e-04,1.650538013414379890e-01,9.903210077766857466e-01,-9.654870220656154556e-07,4.063098952591703882e-06
8.746435807801121953e+00,5.247861417188426003e+01,-5.117074422823259552e-05,2.153435507616112594e-04,1.650544362626860107e-01,9.903290510067606078e-01,-9.654821331399321676e-07,4.063082443663663078e-06
8.911490244063807964e+00,5.346894322289102064e+01,-5.213622636137252769e-05,2.194066332052749225e-04,1.650560247015953053e-01,9.903332799055064584e-01,-9.654888862829463076e-07,4.063089213042503107e-06
9.076546268765403269e+00,5.445927650279652710e+01,-5.310171524765547400e-05,2.234697224183174256e-04,1.650566596164750877e-01,9.903413230526325606e-01,-9.654839974606484730e-07,4.063072704637616956e-06
9.241602928381878357e+00,5.544961782584915966e+01,-5.406719924511612247e-05,2.275327951229550426e-04,1.650582480980897770e-01,9.903455518834860527e-01,-9.654849296208948173e-07,4.063079473462429675e-06
9.406661176479968134e+00,5.643996337773264571e+01,-5.503268417473701729e-05,2.315958745964174722e-04,1.650579293318923391e-01,9.903535962841800711e-01,-9.654858617829504240e-07,4.063086242803647889e-06
